76071; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; M1L
107752; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 600; M1L
76072; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; M1L
107753; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 600; M1L
76073; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; M1L
107755; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 600; M1L
78477; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; GOTAS 50 MG 20 ML x 1 (/ML); M1L
75815; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 15 MG 100 ML x 48 (/5ML); M1L
74637; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 15 MG 120 ML x 1 (/5ML); M1L
74636; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 15 MG 120 ML x 48 (/5ML); M1L
75814; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 30 MG 100 ML x 48 (/5ML); M1L
74639; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 30 MG 120 ML x 1 (/5ML); M1L
74638; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAROPE 30 MG 120 ML x 48 (/5ML); M1L
74644; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 1 (/MG); M1L
74643; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 96 (/ML); M1L
94198; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOL NASAL 0.50 MG 30 ML x 1 (/M; M1L
137261; CLORETO MAGNESIO ; CLORETO MAGNESIO; NOT FOUND; PO SU MIN 66 G x 1; M1L
137265; CLORETO MAGNESIO ; CLORETO MAGNESIO; NOT FOUND; SACHE PO 33 G x 1; M1L
153521; COMPLEXO B ; COMPLEXO B; NOT FOUND; CPR x 30; M1L
