506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 0.75 MG COM CT BL X 2, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 5000 UI/G + 900 UI/G + 150 MG/G POM CT BG AL X 45 G, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
506410901114417, BEFOLIK, BEFOLIK, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, CM5
506400801117417, BABYMED, BABYMED, NOT FOUND, 5000 UI/G + 900 UI/G + 150 MG/G POM CT BG AL X 45 G, CM5
506400901138416, BACTROPIN, BACTROPIN, NOT FOUND, 40 MG + 8 MG SUSP FR C/ 100 ML, CM5
506400902118419, BACTROPIN, BACTROPIN, NOT FOUND, 400 MG + 80 MG COM CX C/ 20, CM5
