506404602135418, MEBENIX, MEBENIX, NOT FOUND, 40MG/ML SUS OR CT FR VD AMB X 10 ML , CM5
506412050025403, MEBENIX, MEBENIX, NOT FOUND, 40MG/ML SUS OR CT FR PET AMB X 10 ML, CM5
506404603115410, MEBENIX, MEBENIX, NOT FOUND, 400 MG COM CT ENV AL X 1 , CM5
506404801111411, METFORMED, METFORMED, NOT FOUND, 500 MG COM CT  BL AL PLAS INC X 30, CM5
506404803114418, METFORMED, METFORMED, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 525, CM5
506404802118411, METFORMED, METFORMED, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 30, CM5
506404804110416, METFORMED, METFORMED, NOT FOUND, 850 MG COM CT BL AL PLAS INC X 450, CM5
506407801139116, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED, CM5
506411802136119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 120 ML + CP MED, CM5
506411801164119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 10 MG/G CREM DERM CT BG AL X 30 G, CM5
506410502112119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT STRIP AL X 30 , CM5
506410501116110, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT STRIP AL X 30 , CM5
506413070027506, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 100 MG COM CT BL AL PLAS INC X 6, CM5
506407902131110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, 20 MG/ML SUS OR CT FR PET AMB X 30 ML + CP MED, CM5
506410001164116, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 100 MG/G GEL CT BG AL X 50 G + 10 APLIC, CM5
