506406801161415, NEBACIMED, NEBACIMED, NOT FOUND, (5 MG + 250 UI)/G POM DERM CT BG AL X 15 G , CM5
506412100026403, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 100, CM5
506412050025303, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS AMB X 30, CM5
506405201118413, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 12   , CM5
506405202114411, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 120 , CM5
506405204117418, NEVRALGEX, NEVRALGEX, NOT FOUND, 300 MG + 50 MG + 35 MG COM CT BL AL PLAS INC X 30, CM5
506405001178412, NARIX, NARIX, NOT FOUND, 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 15 ML, CM5
506405003170419, NARIX, NARIX, NOT FOUND, 0.5 MG/ML SOL NASAL ADULTO CT FR PLAS OPC GOT X 30 ML , CM5
506410601161118, NIMESULIDA, NIMESULIDA, NIMESULIDA, 20 MG/G GEL CT BG AL X 30G , CM5
506410602133118, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, CM5
506408302160118, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/G CREM DERM CT BG AL X 28 G, CM5
506408301164111, NITRATO DE MICONAZOL, NITRATO MICONAZOL, NITRATO MICONAZOL, 20 MG/ G LOCAO CT FR PLAS OPC X 30 ML, CM5
506405101164413, NEOMED, NEOMED, NOT FOUND, 3.5 MG/G POM CT TB AL X 10 G, CM5
