506401102174411, CALAMED, CALAMED, NOT FOUND, 80MG+10MG+09MG SUS AEROSOL FR AL SPRAY OPC CT 120, CM5
506401101178411, CALAMED, CALAMED, NOT FOUND, 80MG+10MG+1MG LOCAO CT FR PLAST OPC X 100 ML, CM5
506401305113415, CAPTOMED, CAPTOMED, NOT FOUND, 12.5 MG COM CT 50 BL AL PLAS INC X 20, CM5
506401301118412, CAPTOMED, CAPTOMED, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 20, CM5
506401302114410, CAPTOMED, CAPTOMED, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 20, CM5
506401304117417, CAPTOMED, CAPTOMED, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, CM5
506401306111416, CAPTOMED, CAPTOMED, NOT FOUND, 25MG COM CT 25 BL AL PLAS INC X 20, CM5
506401307116411, CAPTOMED, CAPTOMED, NOT FOUND, 50 MG COM CT 50 BL AL PLAS INC X 20, CM5
506401303110419, CAPTOMED, CAPTOMED, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, CM5
506407301136118, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML, CM5
506407302132116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML, CM5
506401503136411, CEFACIMED, CEFACIMED, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 100 ML, CM5
506401502131416, CEFACIMED, CEFACIMED, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML, CM5
506401501117411, CEFACIMED, CEFACIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, CM5
506409001113119, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8 , CM5
506401601138419, CELESTAMED, CELESTAMED, NOT FOUND, 0.05 MG + 0.4 MG/ML XPE CT 01 FR VD AMB X 120ML, CM5
506401602118411, CELESTAMED, CELESTAMED, NOT FOUND, 0.25MG +2.0MG COM CT 01 BL AL PLAS INC X 20, CM5
506408101173115, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/ ML SHAMP CT FR PLAS OPC X 100 ML, CM5
506401702112415, CETOMED, CETOMED, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, CM5
506401701116417, CETOMED, CETOMED, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 30, CM5
506401703161411, CETOMED, CETOMED, NOT FOUND, 20MG/G CREM DERM CT BG X 30G, CM5
506401801171411, CICONAZOL, CICONAZOL, NOT FOUND, 20 MG/G LOCAO CT FR X 30 ML, CM5
506401909167421, CIFLOGEX, CIFLOGEX, NOT FOUND, 30 MG GEL TOP BG PLAST X 60 G, CM5
506402202164414, CIMECORT, CIMECORT, NOT FOUND, 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X15 G , CM5
506402201168416, CIMECORT, CIMECORT, NOT FOUND, 20 MG /G + 0.64 MG / G + 2.5 MG /G CREM DERM CT BG AL X30 G , CM5
506408901137415, CIMEGRIPE 77 C, CIMEGRIPE 77 C, NOT FOUND, 100 MG/G PO PREP EXTEMP CT 50 ENV AL POLIET X 5 G, CM5
506409201139413, CIMEGRIPE BEBÊ, CIMEGRIPE BEBE, NOT FOUND, 100 MG/ ML SUS OR CT FR PET OPC X 15 ML + SERINGA DOSADORA, CM5
506408601117419, CIMEGRIPE DIA, CIMEGRIPE DIA, NOT FOUND, 400 MG COM CT BL PVC/PVDC AL X 12 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 12 (AMARELO), CM5
506408602113417, CIMEGRIPE DIA, CIMEGRIPE DIA, NOT FOUND, 400 MG COM CT BL PVC/PVDC AL X 50 (BRANCO) + 400 MG + 20 MG COM CT BL PVC/PVDC AL X 50 (AMARELO) , CM5
506402501110413, CIMELIDE, CIMELIDE, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 12, CM5
506402502133417, CIMELIDE, CIMELIDE, NOT FOUND, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15, CM5
506408502161411, CLEARTOP, CLEARTOP, NOT FOUND, 20 MG/ G CREM CT BG AL X 30 G, CM5
506408501171411, CLEARTOP, CLEARTOP, NOT FOUND, 20 MG/ ML XAMP CT FR PLAS OPC X 100 ML, CM5
506407401130111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR VD AMB X 120 ML, CM5
506407402137111, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML, CM5
506409502112115, CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 14, CM5
506409501116117, CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS INC X 6, CM5
506409901114111, CLORIDRATO DE PROPRANOLOL, CLORIDRATO PROPRANOLOL, CLORIDRATO PROPRANOLOL, 40 MG COM CT BL AL PLAS INC X 30, CM5
506402801130411, COLUTOIDE, COLUTOIDE, NOT FOUND, 0.1MG+10MG+30MG SUS FR X 20 ML, CM5
506401102174411, CALAMED, CALAMED, NOT FOUND, 80MG+10MG+09MG SUS AEROSOL FR AL SPRAY OPC CT 120, CM5
506401101178411, CALAMED, CALAMED, NOT FOUND, 80MG+10MG+1MG LOCAO CT FR PLAST OPC X 100 ML, CM5
506401305113415, CAPTOMED, CAPTOMED, NOT FOUND, 12.5 MG COM CT 50 BL AL PLAS INC X 20, CM5
506401301118412, CAPTOMED, CAPTOMED, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 20, CM5
506401302114410, CAPTOMED, CAPTOMED, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 20, CM5
506401304117417, CAPTOMED, CAPTOMED, NOT FOUND, 25 MG COM CT BL AL PLAS INC X 60, CM5
506401306111416, CAPTOMED, CAPTOMED, NOT FOUND, 25MG COM CT 25 BL AL PLAS INC X 20, CM5
506401307116411, CAPTOMED, CAPTOMED, NOT FOUND, 50 MG COM CT 50 BL AL PLAS INC X 20, CM5
506401303110419, CAPTOMED, CAPTOMED, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, CM5
506407301136118, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML, CM5
506407302132116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML, CM5
506401503136411, CEFACIMED, CEFACIMED, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 100 ML, CM5
506401502131416, CEFACIMED, CEFACIMED, NOT FOUND, 250 MG/5 ML PO PREP EXT CT FR VD AMB X 60 ML, CM5
506401501117411, CEFACIMED, CEFACIMED, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, CM5
506409001113119, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8 , CM5
506401601138419, CELESTAMED, CELESTAMED, NOT FOUND, 0.05 MG + 0.4 MG/ML XPE CT 01 FR VD AMB X 120ML, CM5
506401602118411, CELESTAMED, CELESTAMED, NOT FOUND, 0.25MG +2.0MG COM CT 01 BL AL PLAS INC X 20, CM5
506408101173115, CETOCONAZOL, CETOCONAZOL, CETOCONAZOL, 20 MG/ ML SHAMP CT FR PLAS OPC X 100 ML, CM5
506401702112415, CETOMED, CETOMED, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, CM5
