506402901119418, DIAD, DIAD, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, CM5
506408401169113, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL X 60 G, CM5
506403001138414, DILTIN, DILTIN, NOT FOUND, 7.5MG/ML SOL ORAL CT FR X 20 ML, CM5
506409301168415, DIPROZIL, DIPROZIL, NOT FOUND, 0.5 MG/G + 1.0 MG/ G CREM DERM CT BG AL X 30 G, CM5
506402901119418, DIAD, DIAD, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, CM5
506408401169113, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL X 60 G, CM5
506403001138414, DILTIN, DILTIN, NOT FOUND, 7.5MG/ML SOL ORAL CT FR X 20 ML, CM5
506409301168415, DIPROZIL, DIPROZIL, NOT FOUND, 0.5 MG/G + 1.0 MG/ G CREM DERM CT BG AL X 30 G, CM5
506402901119418, DIAD, DIAD, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, CM5
506408401169113, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL X 60 G, CM5
506403001138414, DILTIN, DILTIN, NOT FOUND, 7.5MG/ML SOL ORAL CT FR X 20 ML, CM5
506409301168415, DIPROZIL, DIPROZIL, NOT FOUND, 0.5 MG/G + 1.0 MG/ G CREM DERM CT BG AL X 30 G, CM5
506402901119418, DIAD, DIAD, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, CM5
506408401169113, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 10 MG/G GEL CT BG AL X 60 G, CM5
506403001138414, DILTIN, DILTIN, NOT FOUND, 7.5MG/ML SOL ORAL CT FR X 20 ML, CM5
506409301168415, DIPROZIL, DIPROZIL, NOT FOUND, 0.5 MG/G + 1.0 MG/ G CREM DERM CT BG AL X 30 G, CM5
506402901119418, DIAD, DIAD, NOT FOUND, 0.75 MG COM CT BL AL PLAS INC X 2, CM5
