506403401136419, EPATIVAN B6, EPATIVAN B6, NOT FOUND, SOL OR CX 10 FLAC PLAS INC X 10 ML, CM5
506403402132417, EPATIVAN B6, EPATIVAN B6, NOT FOUND, SOL OR CT 60 FLAC PLAS INC X 10 ML, CM5
506403403139415, EPATIVAN B6, EPATIVAN B6, NOT FOUND, SOL OR CT 01 FR VD AMB X 240 ML, CM5
506412080026303, EPATIVAN, EPATIVAN, NOT FOUND, 100MG/ML + 50MG/ML + 10MG/ML SOL OR CT 48 FLAC PLAS INC X 10 ML , CM5
506412050025503, ENALAMED, ENALAMED, NOT FOUND, 10 MG COM CT STRIP AL X 30, CM5
506412100026703, ENALAMED, ENALAMED, NOT FOUND, 10 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP), CM5
506403204111413, ENALAMED, ENALAMED, NOT FOUND, 10 MG COM CT STRIP AL X 900 (EMB HOSP), CM5
506412050025603, ENALAMED, ENALAMED, NOT FOUND, 20 MG COM CT STRIP AL X 30, CM5
506412100026603, ENALAMED, ENALAMED, NOT FOUND, 20 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP), CM5
506403206112417, ENALAMED, ENALAMED, NOT FOUND, 20 MG COM CT STRIP AL X 60, CM5
506403205116419, ENALAMED, ENALAMED, NOT FOUND, 20 MG COM CT STRIP AL X 900 (EMB HOSP), CM5
506413020027003, ENALAMED, ENALAMED, NOT FOUND, 5 MG COM CT BL PVC/PVDC AL X 500 (EMB HOSP), CM5
