540114030001705, GAVISCON ADVANCE, GAVISCON ADVANCE, NOT FOUND, 100MG/ML + 20MG/ML SUS 12 ENV AL LAM X 10 ML, R0B
540114030001805, GAVISCON ADVANCE, GAVISCON ADVANCE, NOT FOUND, 100MG/ML + 20 MG/ML SUS CT FR VD AMB X 150ML, R0B
540114030001905, GAVISCON ADVANCE, GAVISCON ADVANCE, NOT FOUND, 100MG/ML + 20 MG/ML SUS CT FR VD AMB X 300ML, R0B
540100102132316, GAVISCON, GAVISCON, NOT FOUND, 50 MG/ML + 26.7 MG/ML + 16 MG/ML SUS OR FR VD AMB X 150 ML, R0B
540100103112319, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 16, R0B
540100104119317, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 24, R0B
540100105115315, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 32, R0B
540100106111313, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 32 (EMB MULT), R0B
540100107118311, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 4, R0B
540100108114311, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 48 (EMB MULT), R0B
540100109110318, GAVISCON, GAVISCON, NOT FOUND, 250 MG + 133.5 MG + 80 MG COM MAS CT BL AL PVC/PE/PVDC X 8, R0B
540100101136318, GAVISCON, GAVISCON, NOT FOUND, 50 MG/ML + 26.7 MG/ML + 16 MG/ML SUS OR CT 12 ENV AL LAM X 10 ML, R0B
540100110135310, GAVISCON, GAVISCON, NOT FOUND, 50 MG/ML + 26.7 MG/ML + 16 MG/ML SUS OR CT 24 ENV AL LAM X 10 ML, R0B
