63857, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), SDZ
59249, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, SDZ
59250, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, SDZ
59248, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, SDZ
59259, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 10, SDZ
59904, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, SDZ
59260, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 10, SDZ
71402, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 20, SDZ
59905, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 30, SDZ
59366, MICOSTEN , MICOSTEN, NOT FOUND, CREME 20 G x 1, SDZ
99994, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 15 MG x 28, SDZ
99996, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 30 MG x 14, SDZ
99993, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 30 MG x 28, SDZ
99995, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 45 MG x 28, SDZ
64103, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 14, SDZ
64104, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 28, SDZ
71618, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 7, SDZ
64105, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 45 MG x 28, SDZ
59735, MOVACOX , MOVACOX, NOT FOUND, CPR 15 MG x 10, SDZ
59734, MOVACOX , MOVACOX, NOT FOUND, CPR 7.50 MG x 10, SDZ
