78461, DESARCOR , DESARCOR, NOT FOUND, CPR 16 MG x 30, SDZ
78462, DESARCOR , DESARCOR, NOT FOUND, CPR 8 MG x 30, SDZ
150191, DESOGES+ETINILE.MG , DESOGES ETINILE, NOT FOUND, CPR REVEST 0.15 MG x 21 (/.02), SDZ
100866, DESOGESTREL MG , DESOGESTREL, DESOGESTREL, CPR REVEST 75 Y x 28, SDZ
80937, DEXAMETONAL , DEXAMETONAL, NOT FOUND, CREME. 0.10 % 10 G x 1, SDZ
47326, DEXAMETONAL , DEXAMETONAL, NOT FOUND, POM. 0.10 % 10 G x 1, SDZ
52325, DIASEC , DIASEC, NOT FOUND, CPR 2 MG x 12, SDZ
55733, DIASEC , DIASEC, NOT FOUND, CPR 2 MG x 200, SDZ
80318, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.125 MG x 30, SDZ
78541, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.25 MG x 30, SDZ
78540, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 1 MG x 30, SDZ
63003, DICLAC , DICLAC, NOT FOUND, CPR REVEST 50 MG x 20, SDZ
59708, DICLAC SR , DICLAC SR, NOT FOUND, CPR RETARD 75 MG x 20, SDZ
59709, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR LAQ ENT. 50 MG x 20, SDZ
82748, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, CPR REVEST 10 MG x 12, SDZ
62023, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, CPR REVEST 10 MG x 14, SDZ
83395, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, CPR REVEST 10 MG x 6, SDZ
62024, DICLOR.CETIRIZI.MG , DICLOR CETIRIZI, DICLORIDRATO CETIRIZINA, CPR REVEST 10 MG x 7, SDZ
71962, DOCETAXEL MG , DOCETAXEL, DOCETAXEL, F.AMP 20 MG 1.50 ML x 1, SDZ
72116, DOCETAXEL MG , DOCETAXEL, DOCETAXEL, F.AMP 80 MG 6 ML x 1, SDZ
61445, DOXICICLINA MG , DOXICICLINA, DOXICICLINA, CPR SOLUVEL 100 MG x 15, SDZ
59220, DOXICICLINA MG , DOXICICLINA, DOXICICLINA, CPR SOLUVEL 100 MG x 20, SDZ
86230, DOXURAN , DOXURAN, NOT FOUND, CPR 2 MG x 10, SDZ
86231, DOXURAN , DOXURAN, NOT FOUND, CPR 2 MG x 30, SDZ
74094, DOXURAN , DOXURAN, NOT FOUND, CPR 4 MG x 20, SDZ
74093, DOXURAN , DOXURAN, NOT FOUND, CPR 4 MG x 30, SDZ
141233, DROSPI+ETINILES MG , DROSPI ETINILES, NOT FOUND, CPR REV 3 MG x 21 (/.03), SDZ
