61527; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 200 MG x 25; SDZ
64990; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CPR 400 MG x 30; SDZ
77150; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); SDZ
65320; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 10 MG x 15; SDZ
63922; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 10 MG x 30; SDZ
77263; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR REVEST 70 MG x 4; SDZ
77264; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR REVEST 70 MG x 8; SDZ
59136; ALOPURINOL MG ; ALOPURINOL; ALOPURINOL; CPR 300 MG x 30; SDZ
63923; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; SDZ
63924; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; SDZ
63925; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; SDZ
59439; AMIDALIN ; AMIDALIN; NOT FOUND; PAS.CER.25X4 x 100; SDZ
59440; AMIDALIN ; AMIDALIN; NOT FOUND; PAS.LAR.25X4 x 100; SDZ
67636; AMIDALIN ; AMIDALIN; NOT FOUND; PAS.MEL/LIMA x 100; SDZ
62501; AMIDALIN ; AMIDALIN; NOT FOUND; PAS.MEL/LIMA x 20; SDZ
59438; AMIDALIN ; AMIDALIN; NOT FOUND; PAS.MEN.25X4 x 100; SDZ
55698; AMIDALIN ; AMIDALIN; NOT FOUND; PAST CEREJA x 20; SDZ
67339; AMIDALIN ; AMIDALIN; NOT FOUND; PAST FRAMBUE x 20; SDZ
32085; AMIDALIN ; AMIDALIN; NOT FOUND; PAST LARANJA x 20; SDZ
55699; AMIDALIN ; AMIDALIN; NOT FOUND; PAST MENTA x 20; SDZ
63101; AMIDALIN ; AMIDALIN; NOT FOUND; SPRAY LARANJ 25 ML x 1; SDZ
56547; AMIDALIN ; AMIDALIN; NOT FOUND; SPRAY MENTA 25 ML x 1; SDZ
61721; AMLOVASC ; AMLOVASC; NOT FOUND; CPR 10 MG x 20; SDZ
59684; AMLOVASC ; AMLOVASC; NOT FOUND; CPR 10 MG x 30; SDZ
61722; AMLOVASC ; AMLOVASC; NOT FOUND; CPR BLISTER 5 MG x 20; SDZ
59685; AMLOVASC ; AMLOVASC; NOT FOUND; CPR BLISTER 5 MG x 30; SDZ
58485; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 12 (/125); SDZ
112796; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 14 (/125); SDZ
112797; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 21 (/125); SDZ
58486; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 12 (/125); SDZ
76542; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 14 (/125); SDZ
70282; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 20 (/125); SDZ
58487; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 125 MG 100 ML x 1 (/3; SDZ
72317; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 125 MG 75 ML x 1 (/31; SDZ
58488; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 250 MG 100 ML x 1 (/6; SDZ
72318; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 250 MG 75 ML x 1 (/62; SDZ
77873; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 400 MG 70 ML x 1 (/57; SDZ
67841; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 16; SDZ
67083; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 20; SDZ
72456; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; SDZ
67084; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; SDZ
57838; AMOXINA ; AMOXINA; NOT FOUND; CAPS 500 MG x 12; SDZ
68361; AMOXINA ; AMOXINA; NOT FOUND; CAPS 500 MG x 21; SDZ
52309; AMOXINA ; AMOXINA; NOT FOUND; CAPS 500 MG x 8; SDZ
52310; AMOXINA ; AMOXINA; NOT FOUND; SUSP 250 MG 60 ML x 1; SDZ
58901; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 12; SDZ
74253; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 18; SDZ
61835; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 24; SDZ
46980; ANARTRIT ; ANARTRIT; NOT FOUND; CAPS 20 MG x 12; SDZ
64249; ANDELUX ; ANDELUX; NOT FOUND; CPR 50 MG x 20; SDZ
71539; AROTIN ; AROTIN; NOT FOUND; CPR REVEST 20 MG x 20; SDZ
66586; AROTIN ; AROTIN; NOT FOUND; CPR REVEST 20 MG x 30; SDZ
61444; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; SDZ
71604; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 60; SDZ
59864; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; SDZ
71602; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 60; SDZ
59865; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; SDZ
71603; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 60; SDZ
59550; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 100 MG x 28; SDZ
72106; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 100 MG x 30; SDZ
60789; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 25 MG x 28; SDZ
72604; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 25 MG x 30; SDZ
59549; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 50 MG x 28; SDZ
72319; ATENOPRESS ; ATENOPRESS; NOT FOUND; CPR REVEST 50 MG x 30; SDZ
64484; ATENORESE ; ATENORESE; NOT FOUND; CPR 12.5 MG x 30 (/50); SDZ
64485; ATENORESE ; ATENORESE; NOT FOUND; CPR 25 MG x 30 (/100); SDZ
