162446, TADALAFILA MG , TADALAFILA, TADALAFILA, CPR REVEST 20 MG x 1, SDZ
162445, TADALAFILA MG , TADALAFILA, TADALAFILA, CPR REVEST 20 MG x 2, SDZ
162444, TADALAFILA MG , TADALAFILA, TADALAFILA, CPR REVEST 20 MG x 4, SDZ
162447, TADALAFILA MG , TADALAFILA, TADALAFILA, CPR REVEST 5 MG x 28, SDZ
64956, TAR ZOLPIDEM MG , TAR ZOLPIDEM, NOT FOUND, CPR 10 MG x 10, SDZ
64957, TAR ZOLPIDEM MG , TAR ZOLPIDEM, NOT FOUND, CPR 10 MG x 20, SDZ
68588, TARVEXOL , TARVEXOL, NOT FOUND, F.AMP INFUS 100 MG 16.7 ML x 1, SDZ
79615, TENOXICAM MG , TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, SDZ
57399, TILOXICAN , TILOXICAN, NOT FOUND, CPR 20 MG x 10, SDZ
33506, TIRACASPA , TIRACASPA, NOT FOUND, SOLN 100 ML x 1, SDZ
72918, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 100 MG x 60, SDZ
72916, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 25 MG x 60, SDZ
72917, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 50 MG x 60, SDZ
72740, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 100 MG x 30, SDZ
72639, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 100 MG x 60, SDZ
72738, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 25 MG x 30, SDZ
72637, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 25 MG x 60, SDZ
72742, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 50 MG x 10, SDZ
72739, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 50 MG x 30, SDZ
72638, TOPTIL , TOPTIL, NOT FOUND, CPR REVEST 50 MG x 60, SDZ
59380, TRILAX , TRILAX, NOT FOUND, CPR BLISTER x 12, SDZ
71835, TRILAX , TRILAX, NOT FOUND, CPR x 100, SDZ
71971, TRILAX , TRILAX, NOT FOUND, CPR x 30, SDZ
64016, TRIXOTENE , TRIXOTENE, NOT FOUND, F.AMP LIOF 20 MG 1.50 ML x 1, SDZ
64017, TRIXOTENE , TRIXOTENE, NOT FOUND, F.AMP LIOF 80 MG 6 ML x 1, SDZ
69056, TYLECETAMOL , TYLECETAMOL, NOT FOUND, CPR 750 MG x 200, SDZ
