56586, GASTROPLUS , GASTROPLUS, NOT FOUND, CPR MASC IOG x 20, SDZ
56587, GASTROPLUS , GASTROPLUS, NOT FOUND, PAST MENTA x 20, SDZ
56589, GASTROPLUS , GASTROPLUS, NOT FOUND, SUSP PAPAIA 150 ML x 1, SDZ
71965, GEMCIT , GEMCIT, NOT FOUND, F.IV INFUSAO 1 G x 1, SDZ
71964, GEMCIT , GEMCIT, NOT FOUND, F.IV INFUSAO 200 MG x 1, SDZ
65159, GEPEPROSTIN , GEPEPROSTIN, NOT FOUND, CPR REVEST 50 MG x 30, SDZ
77967, GESTODE+ETINILE MG , GESTODE ETINILE, NOT FOUND, CPR REVEST 60 Y x 24 (/15), SDZ
67899, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, SDZ
67900, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, SDZ
67901, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, SDZ
71827, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, SDZ
61909, GLIMEPRID , GLIMEPRID, NOT FOUND, CPR 1 MG x 30, SDZ
61446, GLIMEPRID , GLIMEPRID, NOT FOUND, CPR 2 MG x 30, SDZ
61910, GLIMEPRID , GLIMEPRID, NOT FOUND, CPR 4 MG x 30, SDZ
