64526, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 14, SDZ
64527, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 28, SDZ
64525, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 20 MG x 7, SDZ
63920, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 14, SDZ
63921, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 28, SDZ
63919, PANTOPAZ , PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 7, SDZ
76091, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 14, SDZ
75251, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 20 MG x 28, SDZ
75904, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 14, SDZ
75252, PANTOPRAZOL MG , PANTOPRAZOL, PANTOPRAZOL, CPR REVEST 40 MG x 28, SDZ
73240, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 20, SDZ
73363, PARACETAMOL MG , PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, SDZ
59289, PIROXICAM MG , PIROXICAM, PIROXICAM, CPR SOLUVEL 20 MG x 10, SDZ
73850, PIROXICAM MG , PIROXICAM, PIROXICAM, CPR SOLUVEL 20 MG x 15, SDZ
72728, PLAGREL , PLAGREL, NOT FOUND, CPR REVEST 75 MG x 14, SDZ
72729, PLAGREL , PLAGREL, NOT FOUND, CPR REVEST 75 MG x 28, SDZ
70207, PONTIN , PONTIN, NOT FOUND, CPR 500 MG x 120, SDZ
61805, PONTIN , PONTIN, NOT FOUND, CPR 500 MG x 24, SDZ
