90900, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 160 MG x 28, SDZ
90901, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 320 MG x 28, SDZ
90897, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 28, SDZ
74746, VIBRADOXIN , VIBRADOXIN, NOT FOUND, CPR SOLUVEL 100 MG x 15, SDZ
78246, VIDENFIL , VIDENFIL, NOT FOUND, CPR 100 MG x 4, SDZ
78242, VIDENFIL , VIDENFIL, NOT FOUND, CPR 25 MG x 4, SDZ
78620, VIDENFIL , VIDENFIL, NOT FOUND, CPR 50 MG x 1, SDZ
78243, VIDENFIL , VIDENFIL, NOT FOUND, CPR 50 MG x 2, SDZ
78244, VIDENFIL , VIDENFIL, NOT FOUND, CPR 50 MG x 4, SDZ
78245, VIDENFIL , VIDENFIL, NOT FOUND, CPR 50 MG x 8, SDZ
32301, VISUAL , VISUAL, NOT FOUND, COLIRIO 15 ML x 1, SDZ
77449, VISUAL , VISUAL, NOT FOUND, COLIRIO 20 ML x 1, SDZ
67511, VITAMINA E , VITAMINA E, NOT FOUND, CAPS 400 MG x 30, SDZ
