61240, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 10 MG x 30, SDZ
61237, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 20, SDZ
61238, BES ANLODIPINO MG , BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, SDZ
62062, BINKO , BINKO, NOT FOUND, CPR REVEST 120 MG x 20, SDZ
62063, BINKO , BINKO, NOT FOUND, CPR REVEST 80 MG x 20, SDZ
71818, BINKO , BINKO, NOT FOUND, CPR REVEST 80 MG x 30, SDZ
63848, BINKO , BINKO, NOT FOUND, CPR REVEST 80 MG x 60, SDZ
77964, BONEPREV , BONEPREV, NOT FOUND, CPR REVEST 70 MG x 4, SDZ
73871, BROMALEX , BROMALEX, NOT FOUND, CPR 3 MG x 30, SDZ
73872, BROMALEX , BROMALEX, NOT FOUND, CPR 6 MG x 30, SDZ
73719, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 20, SDZ
73718, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 3 MG x 30, SDZ
73717, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 20, SDZ
73716, BROMAZEPAM MG , BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, SDZ
