161193, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 16 MG x 30 (/12.), SDZ
77966, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 16 MG x 30, SDZ
77965, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 8 MG x 30, SDZ
59165, CAPTOP+HIDROCLO.MG , CAPTOP HIDROCLO, NOT FOUND, CPR 50 MG x 16 (/25), SDZ
59166, CAPTOP+HIDROCLO.MG , CAPTOP HIDROCLO, NOT FOUND, CPR 50 MG x 30 (/25), SDZ
59168, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 12.5 MG x 30, SDZ
63173, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 30, SDZ
64491, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 25 MG x 60, SDZ
64490, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 30, SDZ
63540, CAPTOPRIL MG , CAPTOPRIL, CAPTOPRIL, CPR 50 MG x 60, SDZ
57331, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 12.5 MG x 30, SDZ
57332, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 28, SDZ
71844, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 30, SDZ
64492, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 56, SDZ
74627, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 25 MG x 60, SDZ
57593, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 50 MG x 28, SDZ
74626, CAPTOTEC , CAPTOTEC, NOT FOUND, CPR 50 MG x 30, SDZ
59690, CAPTOTEC HCT , CAPTOTEC HCT, NOT FOUND, CPR BLISTER 50 MG x 30 (/25), SDZ
70204, CARDBLOC , CARDBLOC, NOT FOUND, CPR 40 MG x 30, SDZ
58509, CEFACLOR MG , CEFACLOR, CEFACLOR, CAPS 500 MG x 10, SDZ
58506, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 8, SDZ
58507, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, PO P/SUSP 250 MG 100 ML x 1 (/5ML), SDZ
58508, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, PO P/SUSP 500 MG 100 ML x 1 (/5ML), SDZ
68185, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CAPS 500 MG x 8, SDZ
58505, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 10, SDZ
71845, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 200, SDZ
71846, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 40, SDZ
58504, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.AMP C/DILU 1 G 3.50 ML x 1, SDZ
58503, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.AMP C/DILU 500 MG 2 ML x 1, SDZ
62911, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IV SOLV 1 G 10 ML x 1, SDZ
62910, CEFTRIAXONA SOD.MG , CEFTRIAXONA SOD, CEFTRIAXONA SODICA, F.IV SOLV 500 MG 5 ML x 1, SDZ
65456, CEFUROXIMA SOD.MG , CEFUROXIMA SOD, CEFUROXIMA SODICA, F.AMP C/DILU 750 MG 6 ML x 1, SDZ
62891, CETIHEXAL , CETIHEXAL, NOT FOUND, CPR REVEST 10 MG x 12, SDZ
62892, CETIHEXAL , CETIHEXAL, NOT FOUND, CPR REVEST 10 MG x 6, SDZ
90883, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, XAMPU 20 MG 100 ML x 1 (/1G), SDZ
59695, CETOHEXAL , CETOHEXAL, NOT FOUND, CPR BLISTER 200 MG x 10, SDZ
68765, CETOHEXAL , CETOHEXAL, NOT FOUND, CPR BLISTER 200 MG x 30, SDZ
102526, CETOPROX , CETOPROX, NOT FOUND, SHAMPOO 20 MG 100 ML x 1 (/G), SDZ
68119, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR REVEST 200 MG x 20, SDZ
59696, CIMETIDINA MG , CIMETIDINA, CIMETIDINA, CPR REVEST 200 MG x 40, SDZ
52319, CINTAG , CINTAG, NOT FOUND, CPR 200 MG x 20, SDZ
57962, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 250 MG x 6, SDZ
57964, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 500 MG x 14, SDZ
57963, CIPROBIOT , CIPROBIOT, NOT FOUND, CPR 500 MG x 6, SDZ
78004, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, SDZ
78000, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, SDZ
78619, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, SDZ
78001, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, SDZ
78002, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, SDZ
78003, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, SDZ
72460, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 28, SDZ
62787, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR REVEST 20 MG x 30, SDZ
59181, CITR.TAMOXIFENO MG , CITR TAMOXIFENO, CITRATO TAMOXIFENO, CPR REVEST 10 MG x 30, SDZ
