160374; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 2; SDZ
160375; SECNIDAZOL MG ; SECNIDAZOL; SECNIDAZOL; CPR 1000 MG x 4; SDZ
61529; SECNIHEXAL ; SECNIHEXAL; NOT FOUND; CPR 1 G x 2; SDZ
61530; SECNIHEXAL ; SECNIHEXAL; NOT FOUND; CPR 1 G x 4; SDZ
123874; SIMETICONA MG ; SIMETICONA; SIMETICONA; CAPS 125 MG x 10; SDZ
76379; SIMETICONA MG ; SIMETICONA; SIMETICONA; CPR 40 MG x 20; SDZ
76513; SIMETICONA MG ; SIMETICONA; SIMETICONA; GOTAS 75 MG 15 ML x 1 (/ML); SDZ
58063; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 10 MG x 30; SDZ
58064; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 20 MG x 30; SDZ
75256; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 20 MG x 60; SDZ
65145; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 40 MG x 10; SDZ
68129; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 40 MG x 30; SDZ
58062; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 5 MG x 30; SDZ
78146; SINVASTACOR ; SINVASTACOR; NOT FOUND; CPR REVEST 80 MG x 30; SDZ
60519; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ
63849; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 30; SDZ
60521; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 10; SDZ
63851; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 30; SDZ
74302; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 20 MG x 60; SDZ
63852; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 10; SDZ
71622; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 40 MG x 30; SDZ
63850; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 5 MG x 30; SDZ
77981; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ
77982; SINVASTATINA MG ; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 30; SDZ
59119; STUGERINA ; STUGERINA; NOT FOUND; CPR BLISTER 75 MG x 30; SDZ
78323; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 400 MG x 20 (/80); SDZ
59739; SULFAMET+TRIMET.MG ; SULFAMET TRIMET; NOT FOUND; CPR 800 MG x 10 (/160); SDZ
