1003300280126; PLAMET; PLAMET; NOT FOUND; 5MG/ML 05 AMP X 2ML; LIB
1003300280045; PLAMET; PLAMET; NOT FOUND; 5MG/ML 50 AMP X 2ML; LIB
1003300280070; PLAMET; PLAMET; NOT FOUND; 1MG/ML SOL.FR 120ML; LIB
1003300280130; PLAMET; PLAMET; NOT FOUND; 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML (PEDIATRICO); LIB
1003300280100; PLAMET; PLAMET; NOT FOUND; 8 MG/ML GTS FR.10ML; LIB
1003300280033; PLAMET; PLAMET; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; LIB
1003301070024; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; LIB
1003301070032; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28 CALEND; LIB
1003301070059; PROCIMAX; PROCIMAX; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 14; LIB
1003301070067; PROCIMAX; PROCIMAX; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 28 CALEND; LIB
1003301070016; PROCIMAX; PROCIMAX; NOT FOUND; 20 MG COM  REV CT BL AL PLAS INC X 7; LIB
1003301290016; PROSTIDE; PROSTIDE; NOT FOUND; 5 MG COM REV CT BL AL PLAST INC X 20; LIB
1003300950012; POZATO; POZATO; NOT FOUND; 0.75MG 2 COMP; LIB
1003301250014; POZATO UNI; POZATO UNI; NOT FOUND; 1.5 MG COM REV CT BL AL PLAS INC X 1; LIB
1003300550065; PEPRAZOL; PEPRAZOL; NOT FOUND; 10 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 7; LIB
1003300550049; PEPRAZOL; PEPRAZOL; NOT FOUND; 20 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 28; LIB
1003300550050; PEPRAZOL; PEPRAZOL; NOT FOUND; 20 MG CAP CT FR X 07; LIB
1003300550111; PEPRAZOL; PEPRAZOL; NOT FOUND; 40 MG CAP GEL MICROGRANULOS CT FR PLAS OPC X 7; LIB
1003301200033; PAMILIBBS; PAMILIBBS; NOT FOUND; 60 MG PO LIOF INJ CT FA VD INC + AMP DIL VD INC X 10 ML; LIB
1003301200025; PAMILIBBS; PAMILIBBS; NOT FOUND; 30 MG 1 FR AMPOLA + DILUENTE; LIB
1003301200041; PAMILIBBS; PAMILIBBS; NOT FOUND; 90 MG 1 FR AMPOLA + DILUENTE; LIB
1003301040028; PLURAIR; PLURAIR; NOT FOUND; 50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 120 DOSES; LIB
1003301040011; PLURAIR; PLURAIR; NOT FOUND; 50 MCG/DOSE SUS TOP CT FR SPR PLAS OPC X 60 DOSES; LIB
