1003300970031; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 14; LIB
1003300970013; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 7; LIB
1003300970021; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 28; LIB
1003300970048; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 7; LIB
1003300970056; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCGRAN CT FR PLAS OPC X 14; LIB
1003301490015; OXALIBBS; OXALIBBS; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC; LIB
1003301490023; OXALIBBS; OXALIBBS; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC; LIB
1003301150052; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FR VD INC X 16.7 ML; LIB
1003301150011; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 5 ML  ; LIB
1003301150044; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 50 ML  ; LIB
1003301150060; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD INC X 25 ML  ; LIB
1003301150079; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD AMB X 5 ML; LIB
1003301150087; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD AMB X 16.7 ML; LIB
1003301150095; ONTAX; ONTAX; NOT FOUND; 6 MG/ML SOL INJ CT FA VD AMB X 25 ML; LIB
