1003300220065; LOGAT; LOGAT; NOT FOUND; 50MG 05 AMP X 2ML; LIB
1003300220035; LOGAT; LOGAT; NOT FOUND; 150MG X 10 COMP; LIB
1003300220027; LOGAT; LOGAT; NOT FOUND; 150 MG X 20 COMP; LIB
1003300220057; LOGAT; LOGAT; NOT FOUND; 300MG X 08 COMP; LIB
1003300220081; LOGAT; LOGAT; NOT FOUND; 300MG X 16 COMP; LIB
1003300330019; LISAPRES; LISAPRES; NOT FOUND; 4 MG X 30 COMP; LIB
1003300480067; LORANIL; LORANIL; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 100 ML; LIB
1003300480016; LORANIL; LORANIL; NOT FOUND; 10 MG X 06 COMP; LIB
1003300480032; LORANIL; LORANIL; NOT FOUND; 10 MG X 20 COMP; LIB
1003300690010; LORANIL D; LORANIL D; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR PLAS AMB X 60 ML; LIB
1003300690037; LORANIL D; LORANIL D; NOT FOUND; 5 MG + 120 MG COM REV LIB PROL CT BL AL PLAS AMB X 6; LIB
1003300690045; LORANIL D; LORANIL D; NOT FOUND; 10 MG + 240 MG COM REV LIB PROL CT BL AL PLAS AMB X 6; LIB
