1003300060020; C.G.T.; C G T; NOT FOUND; VD. 30 DRG; LIB
1003301470049; COGLIVE; COGLIVE; NOT FOUND; 8 MG COM REV CT BL AL PLAS INC CALEND X 60; LIB
1003301470057; COGLIVE; COGLIVE; NOT FOUND; 12 MG COM REV CT BL AL PLAS INC CALEND X 60; LIB
1003301470022; COGLIVE; COGLIVE; NOT FOUND; 4 MG COM REV CT BL AL PLAS INC CALEND X 30; LIB
1003301220026; CARBOLIBBS; CARBOLIBBS; NOT FOUND; 150 MG PO LIOF INJ CT 01 FA VD AMB; LIB
1003301220034; CARBOLIBBS; CARBOLIBBS; NOT FOUND; 450 MG 1 FR AMPOLA; LIB
1003301220018; CARBOLIBBS; CARBOLIBBS; NOT FOUND; 50 MG 1 FR AMPOLA; LIB
1003300660073; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 15; LIB
1003300660022; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 15; LIB
1003300660014; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; LIB
1003300660091; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 15; LIB
1003300660057; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 15; LIB
1003300660081; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 30; LIB
1003300660103; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; LIB
1003300660065; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 30; LIB
1003300660197; CARDILOL; CARDILOL; NOT FOUND; 12.50 MG COM CT BL AL PLAS INC X 60; LIB
1003300660200; CARDILOL; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; LIB
1003300660170; CARDILOL; CARDILOL; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 60; LIB
1003300660189; CARDILOL; CARDILOL; NOT FOUND; 6.250 MG COM CT BL AL PLAS INC X 60; LIB
1003300660111; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 6.25 MG COM ABS RETARD CT BL AL PLAS INC X 15; LIB
1003300660146; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 12.5 MG COM ABS RETARD CT 2 BL AL PLAS INC X 15; LIB
1003300660138; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 12.5 MG COM ABS RETARD CT BL AL PLAS INC X 15; LIB
1003300660162; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 25 MG COM ABS RETARD CT 2 BL AL PLAS INC X 15; LIB
1003300660154; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 25 MG COM ABS RETARD CT BL AL PLAS INC X 15; LIB
1003300660121; CARDILOL LONG; CARDILOL LONG; NOT FOUND; 6.25 MG COM ABS RETARD CT 2 BL AL PLAS INC X 15; LIB
1003301010056; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; LIB
1003301010021; CEBRALAT; CEBRALAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; LIB
1003301010031; CEBRALAT; CEBRALAT; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 60; LIB
1003301010064; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 60; LIB
1003301010048; CEBRALAT; CEBRALAT; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 15; LIB
1003301680035; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP DURA LIB RETARD FR PLAS OPC X 10; LIB
1003301680019; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP DURA LIB RETARD FR PLAS OPC X 30; LIB
1003301680027; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP DURA LIB RETARD FR PLAS OPC X 30; LIB
1003301270015; CEBRILIN; CEBRILIN; NOT FOUND; 10 MG COM REV CT BL AL/PLAS INC X 30; LIB
1003300900015; CEBRILIN; CEBRILIN; NOT FOUND; 20 MG COM REV CT BL AL/PLAS TRANS X 20; LIB
1003300900031; CEBRILIN; CEBRILIN; NOT FOUND; 20 MG COM REV CT BL AL/PLAS TRANS X 30; LIB
1003300900023; CEBRILIN; CEBRILIN; NOT FOUND; 30 MG COM REV CT BL AL/PLAS TRANS X 30; LIB
1003300900041; CEBRILIN; CEBRILIN; NOT FOUND; 20 MG COM REV CT BL AL/PLAS TRANS X 10; LIB
1003300900066; CEBRILIN; CEBRILIN; NOT FOUND; 30 MG COM REV CT BL AL/PLAS TRANS X 10; LIB
1003300450028; CALTREN; CALTREN; NOT FOUND; 10 MG COM CT BL PLAS AMB X 20; LIB
1003300450052; CALTREN; CALTREN; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; LIB
1003300450036; CALTREN; CALTREN; NOT FOUND; 20 MG COM CT BL PLAS AMB X 20; LIB
1003300450060; CALTREN; CALTREN; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 30; LIB
