1003301000026; SELECTA; SELECTA; NOT FOUND; 0.45 MG + 1.5 MG COM REV CT BL AL PLAS INC X 28 CALEND; LIB
1003300670036; SELIMAX; SELIMAX; NOT FOUND; 600 MG PO PREP EXTEMP CT FR PLAS OPC + 15 ML DIL  (40 MG/ML APOS REC); LIB
1003300670044; SELIMAX; SELIMAX; NOT FOUND; 900 MG PO PREP EXTEMP CT 01 FR PLAS OPC X 22.5 ML (40 MG/ML APOS REC); LIB
1003300670068; SELIMAX; SELIMAX; NOT FOUND; 500MG X 2 COMP; LIB
1003300670052; SELIMAX; SELIMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 03; LIB
1003300670079; SELIMAX; SELIMAX; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 09; LIB
1003301050023; SALSEP; SALSEP; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC SPR X 30 ML; LIB
1003301050031; SALSEP; SALSEP; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC SPR X 50 ML; LIB
1003301650020; STANGLIT; STANGLIT; NOT FOUND; 15 MG COM CT FR PLAS OPC X 30; LIB
1003301650047; STANGLIT; STANGLIT; NOT FOUND; 30 MG COM CT FR PLAS OPC X 30; LIB
1003301650055; STANGLIT; STANGLIT; NOT FOUND; 45 MG COM CT FR PLAS OPC X 30; LIB
1003301520021; SNELLO; SNELLO; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS INC X 30; LIB
1003301520046; SNELLO; SNELLO; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; LIB
1003300580071; SENSITRAM; SENSITRAM; NOT FOUND; 100 MG COM REV LIB RETARD CT BL AL PLAS INC X 10; LIB
1003300580061; SENSITRAM; SENSITRAM; NOT FOUND; 100 MG COM REV LIB RETARD CT BL AL PLAS INC X 30; LIB
1003300580096; SENSITRAM; SENSITRAM; NOT FOUND; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 10; LIB
1003301020019; SIBLIMA; SIBLIMA; NOT FOUND; 0.015 MG + 0.060 MG COM REV CT BL AL PLAS INC CALEND X 24; LIB
1003301020051; SIBLIMA; SIBLIMA; NOT FOUND; 0.015 MG + 0.060 MG COM REV CT 3 BL AL PLAS INC CALEND X 24; LIB
1003301450021; STAVIGILE; STAVIGILE; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 30; LIB
1003301450031; STAVIGILE; STAVIGILE; NOT FOUND; 100 MG COMP CT BL AL PLAS INC X 10; LIB
1003301450048; STAVIGILE; STAVIGILE; NOT FOUND; 100 MG COMP CT BL AL PLAS INC X 30; LIB
1003301760012; SUMAXPRO; SUMAXPRO; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL AL X 02 ; LIB
1003301760020; SUMAXPRO; SUMAXPRO; NOT FOUND; 85 MG + 500 MG COM REV CT BL AL AL X 02 ; LIB
