46028; SELOKEN ; SELOKEN; NOT FOUND; AMP. 5 MG 5 ML x 5; AZN
29964; SELOKEN ; SELOKEN; NOT FOUND; CPR 100 MG x 20; AZN
54304; SELOKEN ; SELOKEN; NOT FOUND; SER.DISP. 5 MG 5 ML x 3; AZN
33372; SELOPRESS ; SELOPRESS; NOT FOUND; CPR 100 MG x 20; AZN
52994; SELOPRESS ZOK ; SELOPRESS ZOK; NOT FOUND; CPR x 20; AZN
52996; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 100 MG x 20; AZN
76061; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 100 MG x 30; AZN
130539; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 100 MG x 60; AZN
59305; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 25 MG x 20; AZN
76059; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 25 MG x 30; AZN
130540; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 25 MG x 60; AZN
52995; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 50 MG x 20; AZN
76060; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 50 MG x 30; AZN
130541; SELOZOK ; SELOZOK; NOT FOUND; CPR L.C. 50 MG x 60; AZN
94126; SELOZOK FIX ; SELOZOK FIX; NOT FOUND; CPR LP 5 MG x 10 (/50); AZN
94127; SELOZOK FIX ; SELOZOK FIX; NOT FOUND; CPR LP 5 MG x 30 (/50); AZN
54707; SEROQUEL IR ; SEROQUEL IR; NOT FOUND; CPR.REV. 100 MG x 28; AZN
54708; SEROQUEL IR ; SEROQUEL IR; NOT FOUND; CPR.REV. 200 MG x 28; AZN
54706; SEROQUEL IR ; SEROQUEL IR; NOT FOUND; CPR.REV. 25 MG x 14; AZN
86881; SEROQUEL IR ; SEROQUEL IR; NOT FOUND; CPR.REV. 300 MG x 14; AZN
75145; SEROQUEL IR ; SEROQUEL IR; NOT FOUND; CPR.REV. 300 MG x 28; AZN
74778; SEROQUEL XRO ; SEROQUEL XRO; NOT FOUND; CPR.REV. 200 MG x 30; AZN
74779; SEROQUEL XRO ; SEROQUEL XRO; NOT FOUND; CPR.REV. 300 MG x 30; AZN
74781; SEROQUEL XRO ; SEROQUEL XRO; NOT FOUND; CPR.REV. 50 MG x 10; AZN
74780; SEROQUEL XRO ; SEROQUEL XRO; NOT FOUND; CPR.REV. 50 MG x 30; AZN
49290; SPLENDIL ; SPLENDIL; NOT FOUND; CPR AP. 10 MG x 20; AZN
52243; SPLENDIL ; SPLENDIL; NOT FOUND; CPR AP. 2.50 MG x 20; AZN
49289; SPLENDIL ; SPLENDIL; NOT FOUND; CPR AP. 5 MG x 20; AZN
63904; SYMBICORT ; SYMBICORT; NOT FOUND; TURBUHALER 12 Y x 60 (/400); AZN
58066; SYMBICORT ; SYMBICORT; NOT FOUND; TURBUHALER 6 Y x 60 (/100); AZN
58067; SYMBICORT ; SYMBICORT; NOT FOUND; TURBUHALER 6 Y x 60 (/200); AZN
