78189, AC FUSI+VAL BET MG , AC FUSI VAL BET, NOT FOUND, CREME DERM 15 G x 1, NQA
71076, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), NQA
71491, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. INF 25 MG 120 ML x 1 (/5ML), NQA
96958, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 12, NQA
96961, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 24, NQA
63112, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 10, NQA
63113, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CPR 200 MG x 25, NQA
69896, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), NQA
69897, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, SUSP 40 MG 10 ML x 1 (/ML), NQA
86919, ALENDRONATO SOD.MG , ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 10, NQA
80421, ALERADINA , ALERADINA, NOT FOUND, CPR REVEST 5 MG x 10, NQA
144159, ALERADINA , ALERADINA, NOT FOUND, CPR REVEST 5 MG x 30, NQA
155044, ALERADINA , ALERADINA, NOT FOUND, XPE 0.50 MG 100 ML x 1 (/ML), NQA
146653, ALERADINA , ALERADINA, NOT FOUND, XPE 0.50 MG 60 ML x 1 (/ML), NQA
76387, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 20, NQA
76388, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 20, NQA
83740, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 30, NQA
76389, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 20, NQA
83741, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, NQA
76390, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 30, NQA
63831, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 18 (/125), NQA
63830, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 500 MG x 6 (/125), NQA
63115, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 125 MG 75 ML x 1 (/5M, NQA
63114, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, PO P/SUSP 250 MG 75 ML x 1 (/5M, NQA
95765, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 15, NQA
62518, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, NQA
66253, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 30, NQA
133361, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CPR REVEST 875 MG x 14, NQA
65968, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, PO P/SUSP 250 MG 150 ML x 1 (/5ML), NQA
158197, ARACOR HCT , ARACOR HCT, NOT FOUND, CPR REVEST 12.5 MG x 30 (/320), NQA
94222, ARACOR HCT , ARACOR HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), NQA
94223, ARACOR HCT , ARACOR HCT, NOT FOUND, CPR REVEST 160 MG x 30 (/25), NQA
94264, ARACOR HCT , ARACOR HCT, NOT FOUND, CPR REVEST 320 MG x 30 (/25), NQA
94216, ARACOR HCT , ARACOR HCT, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), NQA
146709, ARACOR-A , ARACOR A, NOT FOUND, CPR REVEST 160 MG x 30 (/5MG), NQA
159378, ARACOR-A , ARACOR A, NOT FOUND, CPR REVEST 320 MG x 60 (/10), NQA
158196, ARACOR-A , ARACOR A, NOT FOUND, CPR REVEST 320 MG x 60 (/5), NQA
152692, ARACOR-A , ARACOR A, NOT FOUND, CPR REVEST 80 MG x 30 (/5), NQA
72105, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, NQA
72103, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, NQA
72104, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, NQA
89224, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REV . 10 MG x 30, NQA
86920, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REV . 10 MG x 60, NQA
86921, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REV . 20 MG x 30, NQA
89205, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REV . 20 MG x 60, NQA
89227, ATORVASTATINA MG , ATORVASTATINA, ATORVASTATINA, CPR REV . 40 MG x 30, NQA
70215, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, CPR REVEST 250 MG x 10, NQA
70216, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, CPR REVEST 500 MG x 10, NQA
66256, AXETIL CEFUROXI.MG , AXETIL CEFUROXI, NOT FOUND, PO P/SUSP 250 MG 50 ML x 1 (/5M, NQA
63116, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, NQA
63117, AZITROMICINA MG , AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, NQA
