158198, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 16 MG x 30 (/12.), NQA
158199, CAND CILE+HIDRO MG , CAND CILE HIDRO, NOT FOUND, CPR 8 MG x 30 (/12.), NQA
152687, CANDECOR , CANDECOR, NOT FOUND, CPR 16 MG x 30, NQA
155770, CANDECOR , CANDECOR, NOT FOUND, CPR 8 MG x 30, NQA
158200, CANDECOR HCT , CANDECOR HCT, NOT FOUND, CPR 12.5 MG x 30 (/16), NQA
137524, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 16 MG x 30, NQA
135998, CANDESARTA CILE MG , CANDESARTA CILE, CANDESARTANA CILEXETILA, CPR 8 MG x 30, NQA
69911, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), NQA
69912, CARBOCISTEINA MG , CARBOCISTEINA, CARBOCISTEINA, XAR. 50 MG 100 ML x 1 (/ML), NQA
144164, CARDBET , CARDBET, NOT FOUND, CPR 12.5 MG x 30, NQA
144165, CARDBET , CARDBET, NOT FOUND, CPR 25 MG x 30, NQA
144169, CARDBET , CARDBET, NOT FOUND, CPR 3.12 MG x 30, NQA
144171, CARDBET , CARDBET, NOT FOUND, CPR 6.25 MG x 30, NQA
104584, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 15, NQA
104585, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 30, NQA
104587, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 12.5 MG x 60, NQA
104589, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 15, NQA
104590, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, NQA
104581, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 15, NQA
104582, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 3.12 MG x 30, NQA
103013, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 15, NQA
103014, CARVEDILOL MG , CARVEDILOL, CARVEDILOL, CPR 6.25 MG x 30, NQA
64034, CEFACLOR MG , CEFACLOR, CEFACLOR, CAPS 500 MG x 10, NQA
64035, CEFADROXILA MG , CEFADROXILA, CEFADROXILA, CAPS 500 MG x 8, NQA
66599, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 10, NQA
63119, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 20, NQA
63118, CEFALEXINA MG , CEFALEXINA, CEFALEXINA, CPR REVEST 500 MG x 8, NQA
69921, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, CREME 30 G x 1, NQA
69922, CET+D.BET+S.NEO MG , CET D BET S NEO, NOT FOUND, POM. 30 G x 1, NQA
70156, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, CREME 30 G x 1, NQA
70155, CETO+DIP BETAME MG , CETO DIP BETAME, NOT FOUND, POM. 30 G x 1, NQA
63120, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 10, NQA
63121, CETOCONAZOL MG , CETOCONAZOL, CETOCONAZOL, CPR 200 MG x 30, NQA
67532, CINARIZINA MG , CINARIZINA, CINARIZINA, CPR 25 MG x 30, NQA
67533, CINARIZINA MG , CINARIZINA, CINARIZINA, CPR 75 MG x 30, NQA
85001, CITAGRAN , CITAGRAN, NOT FOUND, CPR REVEST 20 MG x 30, NQA
64036, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR 20 MG x 14, NQA
64037, CITALOPRAM MG , CITALOPRAM, CITALOPRAM, CPR 20 MG x 28, NQA
64039, CLARITROMICINA MG , CLARITROMICINA, CLARITROMICINA, CPR REVEST 500 MG x 10, NQA
144172, CLINDELLA , CLINDELLA, NOT FOUND, CPR 2.50 MG x 30, NQA
158201, CLINDELLA , CLINDELLA, NOT FOUND, CPR 2.50 MG x 60, NQA
115850, CLO DOR+MAL TIM MG , CLO DOR MAL TIM, NOT FOUND, SOL OFTAL 5 ML x 1, NQA
115851, CLO DORZOLAMIDA MG , CLO DORZOLAMIDA, CLORIDRATO DORZOLAMIDA, SOL OFTAL 20 MG 5 ML x 1 (/ML), NQA
83722, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 15 MG x 15, NQA
83723, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 30 MG x 15, NQA
83724, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 30 MG x 30, NQA
83725, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 45 MG x 15, NQA
75622, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 10 MG x 30, NQA
75623, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, NQA
137868, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 20, NQA
137870, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, CPR 2 MG x 30, NQA
144179, CLOPIPLAX , CLOPIPLAX, NOT FOUND, CPR REV 75 MG x 14, NQA
144177, CLOPIPLAX , CLOPIPLAX, NOT FOUND, CPR REV 75 MG x 28, NQA
86922, CLOR NARATRIPTA MG , CLOR NARATRIPTA, CLORIDRATO NARATRIPTANA, CPR REV . 2.50 MG x 10, NQA
86923, CLOR NARATRIPTA MG , CLOR NARATRIPTA, CLORIDRATO NARATRIPTANA, CPR REV . 2.50 MG x 4, NQA
67646, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 50 MG 1 ML x 6, NQA
113413, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS GEL DUR 50 MG x 10, NQA
67644, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, GOTAS 100 MG 10 ML x 1 (/ML), NQA
69925, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. 3 MG 120 ML x 1 (/ML), NQA
69926, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. 6 MG 120 ML x 1 (/ML), NQA
123851, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAR AD. 8 MG 120 ML x 1 (/5ML), NQA
123853, CLOR. BROMEXINA MG , CLOR BROMEXINA, CLORIDRATO BROMEXINA, XAR INF 4 MG 120 ML x 1 (/5ML), NQA
112387, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, NQA
62521, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 20, NQA
62522, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 75 MG x 20, NQA
89013, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR A.P 150 MG x 30, NQA
89016, CLOR.BUPROPIONA MG , CLOR BUPROPIONA, CLORIDRATO BUPROPIONA, CPR A.P 150 MG x 60, NQA
78600, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 10, NQA
78601, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 15, NQA
78603, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 10 MG x 30, NQA
117533, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 15, NQA
117534, CLOR.CICLOBENZA.MG , CLOR CICLOBENZA, CLORIDRATO CICLOBENZAPRINA, CPR REVEST 5 MG x 30, NQA
58835, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 14, NQA
58834, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 250 MG x 6, NQA
58838, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, NQA
58837, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 6, NQA
72218, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50, NQA
72219, CLOR.DILTIAZEM MG , CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 60 MG x 50, NQA
65608, CLOR.FEXOFENADI.MG , CLOR FEXOFENADI, CLORIDRATO FEXOFENADINA, CPR REVEST 120 MG x 10, NQA
65609, CLOR.FEXOFENADI.MG , CLOR FEXOFENADI, CLORIDRATO FEXOFENADINA, CPR REVEST 180 MG x 10, NQA
62743, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, NQA
113412, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 1 G x 30, NQA
65971, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 500 MG x 30, NQA
65972, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 30, NQA
89231, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR REVEST 850 MG x 60, NQA
69930, CLOR.NAFAZOLINA MG , CLOR NAFAZOLINA, CLORIDRATO NAFAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (, NQA
62523, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR 20 MG x 20, NQA
62524, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR 20 MG x 30, NQA
