73113; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; CPR 2 MG x 20 (/.25); NQA
70168; MAL.DEXCLO+BETA.MG ; MAL DEXCLO BETA; NOT FOUND; XAROPE 120 ML x 1; NQA
58866; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 28; NQA
75858; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; NQA
75859; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; NQA
58865; MALEA.ENALAPRIL MG ; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; NQA
70169; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 15 MG x 10; NQA
70170; MELOXICAM MG ; MELOXICAM; MELOXICAM; CPR 7.50 MG x 10; NQA
70171; METRONIDAZOL MG ; METRONIDAZOL; METRONIDAZOL; GEL VAG+10AP 100 MG 50 G x 1 (/G); NQA
159556; MISACOR ; MISACOR; NOT FOUND; CPR 80 MG x 30; NQA
161204; MOTIRIDONA ; MOTIRIDONA; NOT FOUND; CPR 10 MG x 30; NQA
161188; MOTIRIDONA ; MOTIRIDONA; NOT FOUND; CPR 10 MG x 60; NQA
