78922; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 100 MG 20 ML x 1 (/ML); NQA
83743; IBUPROFENO MG ; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); NQA
133362; INDAFIX ; INDAFIX; NOT FOUND; CPR REVEST 1.50 MG x 10; NQA
136013; INDAFIX ; INDAFIX; NOT FOUND; CPR REVEST 1.50 MG x 60; NQA
155048; IPRAVENT ; IPRAVENT; NOT FOUND; SOL INAL 0.25 MG 20 ML x 1 (/ML); NQA
89018; ISOTRAT ; ISOTRAT; NOT FOUND; CAPS 10 MG x 30; NQA
89021; ISOTRAT ; ISOTRAT; NOT FOUND; CAPS 20 MG x 30; NQA
87524; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 10 MG x 30; NQA
87525; ISOTRETINOINA MG ; ISOTRETINOINA; ISOTRETINOINA; CAPS 20 MG x 30; NQA
62739; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 10; NQA
63124; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 15; NQA
62737; ITRACONAZOL MG ; ITRACONAZOL; ITRACONAZOL; CAPS 100 MG x 4; NQA
