72307, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, CREME 20 G x 1, NQA
72306, V.BE+SU.G+TO+CL MG , V BE SU G TO CL, NOT FOUND, POM. 20 G x 1, NQA
94276, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 160 MG x 30 (/12.), NQA
94270, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 160 MG x 30 (/25), NQA
141256, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/12.), NQA
94274, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 320 MG x 30 (/25), NQA
94275, VALSAR+HIDROCL MG , VALSAR HIDROCL, NOT FOUND, CPR REVEST 80 MG x 30 (/12.), NQA
86924, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REV . 160 MG x 30, NQA
89250, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REV . 320 MG x 30, NQA
89247, VALSARTANA MG , VALSARTANA, VALSARTANA, CPR REV . 80 MG x 30, NQA
87150, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 100 MG x 2, NQA
87153, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 100 MG x 4, NQA
87139, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 25 MG x 2, NQA
87142, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 25 MG x 4, NQA
87143, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 50 MG x 1, NQA
87145, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 50 MG x 2, NQA
87149, VASIFIL , VASIFIL, NOT FOUND, CPR REVEST 50 MG x 4, NQA
88887, VASTIGMA , VASTIGMA, NOT FOUND, CAPS 1.50 MG x 30, NQA
88891, VASTIGMA , VASTIGMA, NOT FOUND, CAPS 3 MG x 30, NQA
88903, VASTIGMA , VASTIGMA, NOT FOUND, CAPS 4.50 MG x 30, NQA
88907, VASTIGMA , VASTIGMA, NOT FOUND, CAPS 6 MG x 30, NQA
