54899, OMEPRAZIN , OMEPRAZIN, NOT FOUND, CAPS 10 MG x 14, NQA
54901, OMEPRAZIN , OMEPRAZIN, NOT FOUND, CAPS 20 MG x 14, NQA
74774, OMEPRAZIN , OMEPRAZIN, NOT FOUND, CAPS 20 MG x 28, NQA
54900, OMEPRAZIN , OMEPRAZIN, NOT FOUND, CAPS 20 MG x 7, NQA
65176, OMEPRAZIN , OMEPRAZIN, NOT FOUND, CAPS 40 MG x 7, NQA
76157, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 10 MG x 14, NQA
62532, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 14, NQA
62533, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 28, NQA
62531, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 7, NQA
83744, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 40 MG x 28, NQA
76158, OMEPRAZOL MG , OMEPRAZOL, OMEPRAZOL, CAPS 40 MG x 7, NQA
162475, ONIMORF , ONIMORF, NOT FOUND, ESMALTE 2.50 ML x 1, NQA
79611, ORTOSAMIN , ORTOSAMIN, NOT FOUND, SACHE. 1.50 G 5 G x 30, NQA
155049, OSKIN , OSKIN, NOT FOUND, CREME 15 G x 1, NQA
155050, OSKIN , OSKIN, NOT FOUND, CREME 30 G x 1, NQA
150795, OSTE K2 , OSTE K2, NOT FOUND, CAPS GEL x 60, NQA
79610, OSTEOBLOCK , OSTEOBLOCK, NOT FOUND, CPR REVEST 35 MG x 12, NQA
79609, OSTEOBLOCK , OSTEOBLOCK, NOT FOUND, CPR REVEST 35 MG x 4, NQA
