96991; TELMISARTANA MG ; TELMISARTANA; TELMISARTANA; CPR 40 MG x 30; NQA
97003; TELMISARTANA MG ; TELMISARTANA; TELMISARTANA; CPR 80 MG x 30; NQA
104586; TIBOLONA MG ; TIBOLONA; TIBOLONA; CPR 2.50 MG x 30; NQA
70414; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; NQA
117531; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOL OFTAL 3 MG 5 ML x 1 (/ML); NQA
156860; TORVILIP ; TORVILIP; NOT FOUND; CPR REVEST 10 MG x 30; NQA
158204; TORVILIP ; TORVILIP; NOT FOUND; CPR REVEST 10 MG x 60; NQA
144183; TORVILIP ; TORVILIP; NOT FOUND; CPR REVEST 20 MG x 30; NQA
144185; TORVILIP ; TORVILIP; NOT FOUND; CPR REVEST 20 MG x 60; NQA
144187; TORVILIP ; TORVILIP; NOT FOUND; CPR REVEST 40 MG x 30; NQA
94496; TRAVOPROSTA MG ; TRAVOPROSTA; TRAVOPROSTA; SOL OFTAL 0.04 MG 2.50 ML x 1 (/ML); NQA
