161619; LACTANON ; LACTANON; NOT FOUND; TAB. DISP x 30; NQA
150794; LATANO+MAL.TIMO MG ; LATANO MAL TIMO; NOT FOUND; SOL OFT 2.50 ML x 1; NQA
115853; LATANOPROSTA MG ; LATANOPROSTA; LATANOPROSTA; SOL OFTAL 0.05 MG 2.50 ML x 1 (/ML; NQA
62527; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 250 MG x 7; NQA
62528; LEVOFLOXACINO MG ; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; NQA
79612; LIPISTATINA ; LIPISTATINA; NOT FOUND; CPR REVEST 10 MG x 30; NQA
89233; LIPISTATINA ; LIPISTATINA; NOT FOUND; CPR REVEST 20 MG x 30; NQA
79613; LIPISTATINA ; LIPISTATINA; NOT FOUND; CPR REVEST 20 MG x 60; NQA
79614; LIPISTATINA ; LIPISTATINA; NOT FOUND; CPR REVEST 40 MG x 30; NQA
63126; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; NQA
63127; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; NQA
63125; LISINOPRIL MG ; LISINOPRIL; LISINOPRIL; CPR 5 MG x 30; NQA
89234; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 10; NQA
64044; LORATADINA MG ; LORATADINA; LORATADINA; CPR 10 MG x 12; NQA
69953; LORATADINA MG ; LORATADINA; LORATADINA; XAROPE 1 MG 100 ML x 1 (/ML); NQA
62734; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 14; NQA
62736; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 28; NQA
89245; LOSARTAN POTAS.MG ; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; NQA
63129; LOVASTATINA MG ; LOVASTATINA; LOVASTATINA; CPR 20 MG x 10; NQA
162462; LUMIDERM ; LUMIDERM; NOT FOUND; CR DERMAT. 40 MG 30 G x 1 (/G); NQA
146551; LUMIDERM ; LUMIDERM; NOT FOUND; GEL DERMAT. 40 MG 30 G x 1 (/G); NQA
