70158; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; NQA
70159; DEFLAZACORTE MG ; DEFLAZACORTE; DEFLAZACORTE; CPR 6 MG x 20; NQA
77706; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; NQA
95760; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 30; NQA
78144; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 100 ML x 1 (/ML); NQA
78143; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR. 0.50 MG 60 ML x 1 (/ML); NQA
159554; DESOSKIN ; DESOSKIN; NOT FOUND; CREME DERM 30 G x 1; NQA
163286; DIAZEPAM NQ ; DIAZEPAM NQ; NOT FOUND; CPR 10 MG x 20; NQA
163287; DIAZEPAM NQ ; DIAZEPAM NQ; NOT FOUND; CPR 5 MG x 20; NQA
155045; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; NQA
155046; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; NQA
158202; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; NQA
70160; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); NQA
135999; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL CREME 10 MG 60 G x 1 (/G); NQA
63122; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 10; NQA
63123; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 20; NQA
66606; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 100 MG x 10; NQA
62525; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 10; NQA
62526; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; NQA
155047; DIGESIGMA ; DIGESIGMA; NOT FOUND; CAPS 10 MG x 20; NQA
131340; DIP.BET+AC.SALI MG ; DIP BET AC SALI; NOT FOUND; SOL TOP APLI 30 ML x 1; NQA
69941; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 240; NQA
69942; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); NQA
69943; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); NQA
87131; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 30; NQA
87133; DOMPERIDONA MG ; DOMPERIDONA; DOMPERIDONA; CPR 10 MG x 60; NQA
96371; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR 3 MG x 21 (/.03); NQA
159555; DROXY ; DROXY; NOT FOUND; CPR 25 MG x 30; NQA
