113402; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; NQA
113403; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; NQA
144182; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 42; NQA
113649; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; NQA
113650; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; NQA
144181; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 42; NQA
71581; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; NQA
71379; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; NQA
69963; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); NQA
150796; PERLUMES ; PERLUMES; NOT FOUND; AMP I.M. 150 MG 1 ML x 1 (/10M) ML; NQA
68504; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 10; NQA
68503; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; NQA
68675; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; NQA
73511; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; NQA
73510; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; NQA
148477; PREDSIGMA ; PREDSIGMA; NOT FOUND; CPR 20 MG x 10; NQA
161220; PREDSIGMA ; PREDSIGMA; NOT FOUND; SOL ORAL 3 ML 60 ML x 1 (/ML); NQA
69970; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); NQA
69971; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); NQA
