PARAMINOBENZOATO DE POTÁSSIO, PARAMINOBENZOATO POTASSIO
PACLITAXEL, PACLITAXEL
PACRINOLOL, PACRINOLOL
PADELIPORFINA DIPOTÁSSICA, PADELIPORFINA DIPOTASSICA
PADIMATO, PADIMATO
PADIMATO A, PADIMATO A
PAEONIA OFFICINALIS , PAEONIA OFFICINALIS
PAFENOLOL, PAFENOLOL
PAGOCLONA, PAGOCLONA
PALATRIGINA, PALATRIGINA
PALDIMICINA, PALDIMICINA
PALIFERMINA, PALIFERMINA
PALINAVIR, PALINAVIR
PALIPERIDONA, PALIPERIDONA
PALIVIZUMABE, PALIVIZUMABE
PALLADIUM METALLICUM , PALLADIUM METALLICUM
PALMIDROL, PALMIDROL
PALMITATO DE ASCORBILA, PALMITATO ASCORBILA
PALMITATO DE CETILA, PALMITATO CETILA
PALMITATO DE CLORANFENICOL, PALMITATO CLORANFENICOL
PALMITATO DE COLFOSCERILA, PALMITATO COLFOSCERILA
PALMITATO DE ISOPROPILA, PALMITATO ISOPROPILA
PALMITATO DE NEOMICINA, PALMITATO NEOMICINA
PALMITATO DE OCTILA, PALMITATO OCTILA
PALMITATO DE PALIPERIDONA, PALMITATO PALIPERIDONA
PALMITATO DE PIPOTIAZINA, PALMITATO PIPOTIAZINA
PALMITATO DE RETINOL, PALMITATO RETINOL
PALMITATO DE SACAROSE, PALMITATO SACAROSE
PALMITATO DE SORBITANA, PALMITATO SORBITANA
PALMITATO DE TIANFENICOL, PALMITATO TIANFENICOL
PALMITATO DE XANTOFILA, PALMITATO XANTOFILA
PALONIDIPINO, PALONIDIPINO
PALONOSETRONA, PALONOSETRONA
PAMAQUESIDA, PAMAQUESIDA
PAMAQUINA, PAMAQUINA
PAMATOLOL, PAMATOLOL
PAMIDRONATO DISSÓDICO, PAMIDRONATO DISSODICO
PAMITEPLASE, PAMITEPLASE
PAMOATO DE PAMAQUINA, PAMOATO PAMAQUINA
PAMOATO DE PASIREOTIDA, PAMOATO PASIREOTIDA
PANADIPLONA, PANADIPLONA
PANAX GINSENG C.A. MEY. , PANAX GINSENG C.A. MEY.
PANCOPRIDA, PANCOPRIDA
PANCREATINA, PANCREATINA
PANCRELIPASE, PANCRELIPASE
PANIDAZOL, PANIDAZOL
PANIPENEM, PANIPENEM
PANITUMUMABE, PANITUMUMABE
PANOBINOSTATE, PANOBINOSTATE
PANOMIFENO, PANOMIFENO
PANTENICATO, PANTENICATO
PANTENOL, PANTENOL
PANTOLACTONA, PANTOLACTONA
PANTOPRAZOL, PANTOPRAZOL
PANTOPRAZOL MAGNÉSICO DI-HIDRATADO, PANTOPRAZOL MAGNESICO DI-HIDRATADO
PANTOPRAZOL SÓDICO, PANTOPRAZOL SODICO
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO, PANTOPRAZOL SODICO SESQUI-HIDRATADO
PANTOTENATO DE CÁLCIO, PANTOTENATO CALCIO
PANTOTENATO DE CLORANFENICOL, PANTOTENATO CLORANFENICOL
PANTOTENATO DE SÓDIO, PANTOTENATO SODIO
PANURAMINA, PANURAMINA
PAPAÍNA, PAPAINA
PAPAVER SOMNIFERUM L. , PAPAVER SOMNIFERUM L.
PAPAVERINA, PAPAVERINA
PAPAVEROLINA, PAPAVEROLINA
PARACETAMOL, PARACETAMOL
PARAFINA, PARAFINA
PARAFLUOROFENTANILA, PARAFLUOROFENTANILA
PARAFLUTIZIDA, PARAFLUTIZIDA
PARAMETADIONA, PARAMETADIONA
PARAMETASONA, PARAMETASONA
PARAPENZOLATO, PARAPENZOLATO
PARAPROPAMOL, PARAPROPAMOL
PARATIAZINA, PARATIAZINA
PARATIRINA, PARATIRINA
PARAXAZONA, PARAXAZONA
PARBENDAZOL, PARBENDAZOL
PARCETASAL, PARCETASAL
PARCONAZOL, PARCONAZOL
PARECOXIBE, PARECOXIBE
PARECOXIBE SÓDICO, PARECOXIBE SODICO
PAREIRA BRAVA , PAREIRA BRAVA
PAREPTIDA, PAREPTIDA
PARETOXICAÍNA, PARETOXICAINA
PARGEVERINA, PARGEVERINA
PARGILINA, PARGILINA
PARGOLOL, PARGOLOL
PARICALCITOL, PARICALCITOL
PARIDOCAÍNA, PARIDOCAINA
PARIS QUADRIFOLIA , PARIS QUADRIFOLIA
PARNAPARINA SÓDICA, PARNAPARINA SODICA
PARODILOL, PARODILOL
PAROMOMICINA, PAROMOMICINA
PAROXETINA, PAROXETINA
PAROXIPROPIONA, PAROXIPROPIONA
PARSALMIDA, PARSALMIDA
PARTRICINA, PARTRICINA
PARVAQUONA, PARVAQUONA
PASINIAZIDA, PASINIAZIDA
PASIREOTIDA, PASIREOTIDA
PASSIFLORA ALATA , PASSIFLORA ALATA
PASSIFLORA ALATA CURTIS, PASSIFLORA ALATA CURTIS
PASSIFLORA EDULIS SIMS, PASSIFLORA EDULIS SIMS
PASSIFLORA INCARNATA , PASSIFLORA INCARNATA
PASSIFLORA INCARNATA L., PASSIFLORA INCARNATA L.
PAULLINIA CUPANA KUNTH, PAULLINIA CUPANA KUNTH
PAULLINIA SORBILIS , PAULLINIA SORBILIS
PAULOMICINA, PAULOMICINA
PAXAMATO, PAXAMATO
PAZELIPTINA, PAZELIPTINA
PAZINACLONA, PAZINACLONA
PAZÓXIDO, PAZOXIDO
PAZUFLOXACINO, PAZUFLOXACINO
PARAMINOBENZOATO DE SÓDIO, PARAMINOBENZOATO SODIO
