52054, TALSUTIN , TALSUTIN, NOT FOUND, CR.VAG.10APL 45 G x 1, BMS
54353, TAXOL , TAXOL, NOT FOUND, F.AMP 100 MG 16.7 ML x 1, BMS
56233, TAXOL , TAXOL, NOT FOUND, F.AMP 300 MG 50 ML x 1, BMS
49815, TAXOL , TAXOL, NOT FOUND, INFUSAO I.V 30 MG 5 ML x 1, BMS
10104, TERAGRAN JUNIOR , TERAGRAN JUNIOR, NOT FOUND, LIQD 120 ML x 1, BMS
51330, TERAGRAN M , TERAGRAN M, NOT FOUND, CPR REVEST x 30, BMS
42293, TERAGRAN M PRE-NAT , TERAGRAN M PRE NAT, NOT FOUND, DRAG x 30, BMS
10293, TETREX , TETREX, NOT FOUND, CAPS 500 MG x 8, BMS
10291, TETREX , TETREX, NOT FOUND, CAPS ENVELOP 500 MG x 100, BMS
28960, TRI-VI-FLUOR , TRI VI FLUOR, NOT FOUND, GOTAS 30 ML x 1, BMS
10662, TRI-VI-SOL , TRI VI SOL, NOT FOUND, GOTAS 30 ML x 1, BMS
