66264, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, BF8

66265, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, BF8

77312, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, BF8

66266, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8

59497, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 4, E3S

51489, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 5 MG x 30, E3S

86908, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REV . 1.50 MG x 30, E3S

77802, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 15, E3S

51488, ISORDIL , ISORDIL, NOT FOUND, CPR LING 2.50 MG x 30, E3S

109754, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, E3S

51491, ISORDIL , ISORDIL, NOT FOUND, CPR LING 5 MG x 30, E3S

76332, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), E3S

93699, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 100, E3S

68736, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 4, E3S

68384, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, E3S

77637, INLACT , INLACT, NOT FOUND, XAROPE AMEIX 667 MG 120 ML x 1, E3S

113076, IBULIV , IBULIV, NOT FOUND, CAPS GELATIN 400 MG x 40, E3S

86649, IBULIV , IBULIV, NOT FOUND, SUSP ORAL 100 MG 20 ML x 1 (/ML), E3S

58018, INFLAGEL , INFLAGEL, NOT FOUND, CPR 20 MG x 10, E3S

5690, IODEX , IODEX, NOT FOUND, POM. 28 G x 1, E3S

42138, ISORDIL , ISORDIL, NOT FOUND, CAPS AP 40 MG x 30, E3S

74912, INFRALAX , INFRALAX, NOT FOUND, CPR x 15, E3S

66542, INFRALAX , INFRALAX, NOT FOUND, CPR x 200, E3S

51490, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 10 MG x 30, E3S

112354, IBULIV , IBULIV, NOT FOUND, CAPS 400 MG x 8, E3S

64376, INDUX , INDUX, NOT FOUND, CPR 50 MG x 10, E3S

95689, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 300 MG x 20, E3S

59595, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 15, E3S

5692, IODEX SALIC ETIL , IODEX SALIC ETIL, NOT FOUND, POM. 28 G x 1, E3S

61715, INFRALAX , INFRALAX, NOT FOUND, CPR x 30, E3S

93700, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 200, E3S

59594, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 4, E3S

59498, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 15, E3S

86648, IBULIV , IBULIV, NOT FOUND, CPR REV . 400 MG x 10, E3S

103028, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, GM2

71674, IMUSSUPREX , IMUSSUPREX, NOT FOUND, CPR REVEST 50 MG x 50, GM2

86432, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REVEST 1.50 MG x 30, GM2

78496, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, SUSP ORAL 20 MG 100 ML x 1 (/ML), GM2

69856, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, GM2

76788, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, GM2

76787, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), GM2

76786, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), GM2

112605, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 10, GM2

85987, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 30, GM2

103027, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 10 MG x 30, GM2

53268, INFLALID , INFLALID, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), LG6

102997, IBUFLEX , IBUFLEX, NOT FOUND, CAPS GEL 400 MG x 8, LG6

84734, IBUFLEX , IBUFLEX, NOT FOUND, GOTAS 100 MG 30 ML x 1 (/ML), LG6

53267, INFLALID , INFLALID, NOT FOUND, CPR 100 MG x 12, LG6

77335, INFLADEX , INFLADEX, NOT FOUND, CPR REVEST 100 MG x 20, LG6

77243, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), LG6

113358, IBUFLEX , IBUFLEX, NOT FOUND, CAPS GEL 400 MG x 40, LG6

93008, INDATRAT , INDATRAT, NOT FOUND, CPR REV L.S 1.50 MG x 30, LG6

76789, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), LG6

69163, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, LG6

77334, INFLADEX , INFLADEX, NOT FOUND, CPR REVEST 100 MG x 10, LG6

51697, INIBEX S , INIBEX S, NOT FOUND, CPR RETARD 50 MG x 20, MD7

78598, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), MD7

78998, IMOXY , IMOXY, NOT FOUND, SACHETS 5 % 1 G x 12, MD7

79980, IMIQUIMODE MG , IMIQUIMODE, IMIQUIMODE, SACHE. 50 MG 0.25 G x 6 (/G), MD7

79981, IMIQUIMODE MG , IMIQUIMODE, IMIQUIMODE, SACHE. 50 MG 0.25 G x 12 (/G), MD7

50288, INIBEX S , INIBEX S, NOT FOUND, CPR RETARD 75 MG x 20, MD7

78596, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), MD7

50287, INIBEX S , INIBEX S, NOT FOUND, CPR REVEST 25 MG x 20, MD7

78999, IMOXY , IMOXY, NOT FOUND, SACHETS 5 % 1 G x 6, MD7

100157, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, MD7

85411, IVERMECTINA MG , IVERMECTINA, IVERMECTINA, CPR 6 MG x 4, N_Q

85410, IVERMECTINA MG , IVERMECTINA, IVERMECTINA, CPR 6 MG x 2, N_Q

50986, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 600 MG x 30, N_Q

76721, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), N_Q

77511, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR 400 MG x 10, N_Q

84350, IBUFRAN , IBUFRAN, NOT FOUND, GOTAS 50 MG 30 ML x 1 (/ML), N_Q

58734, IPRANEO , IPRANEO, NOT FOUND, SOLN INALT 25 MG 20 ML x 1 (/ML), N_Q

100158, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 400 MG x 10, N_Q

86219, IVERNEO , IVERNEO, NOT FOUND, CPR 6 MG x 4, N_Q

33829, IODETOSS , IODETOSS, NOT FOUND, XAROPE 100 ML x 1, N_Q

73183, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), N_Q

86217, IVERNEO , IVERNEO, NOT FOUND, CPR 6 MG x 2, N_Q

100159, IBUFRAN , IBUFRAN, NOT FOUND, DRAG 300 MG x 20, N_Q

66264, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 4, BF8

66265, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 10, BF8

77312, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, BF8

66266, ITRACONAZOL MG , ITRACONAZOL, ITRACONAZOL, CAPS 100 MG x 15, BF8

59497, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 4, E3S

51489, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 5 MG x 30, E3S

86908, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REV . 1.50 MG x 30, E3S

77802, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 15, E3S

51488, ISORDIL , ISORDIL, NOT FOUND, CPR LING 2.50 MG x 30, E3S

109754, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, E3S

51491, ISORDIL , ISORDIL, NOT FOUND, CPR LING 5 MG x 30, E3S

76332, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), E3S

93699, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 100, E3S

68736, ITRALEX , ITRALEX, NOT FOUND, CAPS 100 MG x 4, E3S

68384, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, E3S

77637, INLACT , INLACT, NOT FOUND, XAROPE AMEIX 667 MG 120 ML x 1, E3S

113076, IBULIV , IBULIV, NOT FOUND, CAPS GELATIN 400 MG x 40, E3S

86649, IBULIV , IBULIV, NOT FOUND, SUSP ORAL 100 MG 20 ML x 1 (/ML), E3S

58018, INFLAGEL , INFLAGEL, NOT FOUND, CPR 20 MG x 10, E3S

5690, IODEX , IODEX, NOT FOUND, POM. 28 G x 1, E3S

42138, ISORDIL , ISORDIL, NOT FOUND, CAPS AP 40 MG x 30, E3S

74912, INFRALAX , INFRALAX, NOT FOUND, CPR x 15, E3S

66542, INFRALAX , INFRALAX, NOT FOUND, CPR x 200, E3S

51490, ISORDIL , ISORDIL, NOT FOUND, CPR ORAL 10 MG x 30, E3S

112354, IBULIV , IBULIV, NOT FOUND, CAPS 400 MG x 8, E3S

64376, INDUX , INDUX, NOT FOUND, CPR 50 MG x 10, E3S

95689, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 300 MG x 20, E3S

59595, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 15, E3S

5692, IODEX SALIC ETIL , IODEX SALIC ETIL, NOT FOUND, POM. 28 G x 1, E3S

61715, INFRALAX , INFRALAX, NOT FOUND, CPR x 30, E3S

93700, INFRALAX , INFRALAX, NOT FOUND, CPR FRAC x 200, E3S

59594, ITRACONOL , ITRACONOL, NOT FOUND, CAPS 100 MG x 4, E3S

59498, ITRASPOR , ITRASPOR, NOT FOUND, CAPS GELATIN 100 MG x 15, E3S

86648, IBULIV , IBULIV, NOT FOUND, CPR REV . 400 MG x 10, E3S

103028, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 20 MG x 30, GM2

71674, IMUSSUPREX , IMUSSUPREX, NOT FOUND, CPR REVEST 50 MG x 50, GM2

86432, INDAPAMIDA MG , INDAPAMIDA, INDAPAMIDA, CPR REVEST 1.50 MG x 30, GM2

78496, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, SUSP ORAL 20 MG 100 ML x 1 (/ML), GM2

69856, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 200 MG x 20, GM2

76788, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, CPR REVEST 400 MG x 10, GM2

76787, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 100 MG 20 ML x 1 (/ML), GM2

76786, IBUPROFENO MG , IBUPROFENO, IBUPROFENO, GOTAS 50 MG 30 ML x 1 (/ML), GM2

112605, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 10, GM2

85987, INIP , INIP, NOT FOUND, CPR REV L L 150 MG x 30, GM2

103027, ISOTRETINOINA MG , ISOTRETINOINA, ISOTRETINOINA, CAPS 10 MG x 30, GM2

53268, INFLALID , INFLALID, NOT FOUND, GOTAS 50 MG 15 ML x 1 (/ML), LG6

102997, IBUFLEX , IBUFLEX, NOT FOUND, CAPS GEL 400 MG x 8, LG6

84734, IBUFLEX , IBUFLEX, NOT FOUND, GOTAS 100 MG 30 ML x 1 (/ML), LG6

