66726; FENDICAL ; FENDICAL; NOT FOUND; CPR REVEST 1 MG x 30; UCI
62842; FEXODANE ; FEXODANE; NOT FOUND; CAPS 60 MG x 10; UCI
62843; FEXODANE ; FEXODANE; NOT FOUND; CPR REVEST 120 MG x 10; UCI
62844; FEXODANE ; FEXODANE; NOT FOUND; CPR REVEST 180 MG x 10; UCI
77207; FLUVASTAT ; FLUVASTAT; NOT FOUND; CAPS 40 MG x 28; UCI
54764; FLUXOL ; FLUXOL; NOT FOUND; XAR. AD 30 MG 120 ML x 1 (/5ML); UCI
56163; FRENURIN ; FRENURIN; NOT FOUND; CPR 5 MG x 30; UCI
56164; FRENURIN ; FRENURIN; NOT FOUND; CPR 5 MG x 60; UCI
56165; FRENURIN ; FRENURIN; NOT FOUND; XAR. 1 MG 120 ML x 1 (/ML); UCI
55455; FUNGIROX ; FUNGIROX; NOT FOUND; CREME 10 MG 20 G x 1 (/G); UCI
55456; FUNGIROX ; FUNGIROX; NOT FOUND; ESMALTE 80 MG 3 G x 1 (/G); UCI
59071; FUNGIROX ; FUNGIROX; NOT FOUND; ESMALTE 80 MG 6 G x 1 (/G); UCI
55457; FUNGIROX ; FUNGIROX; NOT FOUND; SOLN TOP. 10 MG 15 ML x 1 (/ML); UCI
