10315, THIABEN , THIABEN, NOT FOUND, CPR 500 MG x 6, UCI
10316, THIABEN , THIABEN, NOT FOUND, LIQD 250 MG 40 ML x 1 (/5ML), UCI
10317, THIABENA , THIABENA, NOT FOUND, POM. 15 G x 1, UCI
89060, THIABENA POMADA , THIABENA POMADA, NOT FOUND, POM. 1 G 45 G x 1, UCI
48578, TIABIOSE , TIABIOSE, NOT FOUND, CREME 45 G x 1, UCI
65517, TRENTOFIL , TRENTOFIL, NOT FOUND, CPR.RE.LP 400 MG x 20, UCI
70630, TRENTOFIL , TRENTOFIL, NOT FOUND, CPR.RE.LP 400 MG x 200, UCI
66455, TRINIZOL-M , TRINIZOL M, NOT FOUND, CR.VAG.7 APL 40 G x 1, UCI
49079, TRINIZOL-M , TRINIZOL M, NOT FOUND, CR.VAG.C/APL 80 G x 1, UCI
69238, TRISOMATOL , TRISOMATOL, NOT FOUND, CPR 25 MG x 20, UCI
70896, TRISOMATOL , TRISOMATOL, NOT FOUND, CPR 25 MG x 200, UCI
69239, TRISOMATOL , TRISOMATOL, NOT FOUND, CPR 75 MG x 20, UCI
