525407801119410; ROXFLAN; ROXFLAN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 20; M_S
525407803111417; ROXFLAN; ROXFLAN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; M_S
525407802115419; ROXFLAN; ROXFLAN; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 20; M_S
525407804118415; ROXFLAN; ROXFLAN; NOT FOUND; 5 MG COM CT BL AL PLAS OPC X 30; M_S
525413020044103; REBIF; REBIF; NOT FOUND; 22 MCG / ML SOL INJ CT 12 SER PREENC VD INC X 0.5 ML + CAN APLIC ; M_S
525420402151415; REBIF; REBIF; NOT FOUND; 22 MCG/ML SOL INJ CT 12 SER PREENCH VD INC X 0.5 ML ; M_S
525413020044203; REBIF; REBIF; NOT FOUND; 44 MCG / ML SOL INJ CT 12 SER PREENC VD INC X 0.5 ML + CAN APLIC ; M_S
525420401153414; REBIF; REBIF; NOT FOUND; 44 MCG/ML SOL INJ CT 12 SER PREENCH VD INC X 0.5 ML ; M_S
525413010043603; REBIF; REBIF; NOT FOUND; 66 MCG/1.5 ML SOL INJ CT 4 FA VD INC X 1.5 ML ; M_S
525413010043703; REBIF; REBIF; NOT FOUND; 132 MCG/1.5 ML SOL INJ CT 4 FA VD INC X 1.5 ML ; M_S
525420201111114; RISPERIDONA; RISPERIDONA; RISPERIDONA; 1 MG COM REV CT BL AL PLAS INC X 30; M_S
525420202118112; RISPERIDONA; RISPERIDONA; RISPERIDONA; 2 MG COM REV CT BL AL PLAS INC X 30; M_S
525420203114110; RISPERIDONA; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 30; M_S
