525417801138110; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; M_S
525406601132423; MUCOFLUX; MUCOFLUX; NOT FOUND; 20 MG/ML XPE CT CART FR PLAS OPC X 100 ML; M_S
525406602139421; MUCOFLUX; MUCOFLUX; NOT FOUND; 50 MG/ML XPE CT CART FR PLAS OPC X 100 ML; M_S
525417501134111; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED 10 ML ; M_S
525406201118113; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; M_S
525406202114111; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 10; M_S
525419903116414; MESIDOX; MESIDOX; NOT FOUND; 2 MG COM FR PLAS OPC X 20; M_S
525406301112117; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM EST FR PLAS OPC X 30; M_S
525419901113418; MESIDOX; MESIDOX; NOT FOUND; 2 MG COM FR PLAS OPC X 30; M_S
525419904112412; MESIDOX; MESIDOX; NOT FOUND; 4 MG COM FR PLAS OPC X 20; M_S
525406302119115; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 4 MG COM EST FR PLAS OPC X 30; M_S
525419902111419; MESIDOX; MESIDOX; NOT FOUND; 4 MG COM FR PLAS OPC X 30; M_S
