525421101110319, PERGOVERIS, PERGOVERIS, NOT FOUND, 150 UI/75 UI PO LIOF INJ CT FA VD INC + FA DIL X 1 ML, M_S
525421102117317, PERGOVERIS, PERGOVERIS, NOT FOUND, 150 UI/75 UI PO LIOF INJ CT 10 FA VD INC + 10 FA DIL X 1 ML, M_S
525421103113315, PERGOVERIS, PERGOVERIS, NOT FOUND, 150 UI/75 UI PO LIOF INJ CT 3 FA VD INC + 3 FA DIL X 1 ML, M_S
525407602116411, PSIQUIAL, PSIQUIAL, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 14, M_S
525407601111416, PSIQUIAL, PSIQUIAL, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 28, M_S
525418302119119, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV EST CT BL AL/AL X 14, M_S
525418304111115, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV EST CT BL AL/AL X 14, M_S
525418301112110, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV EST CT BL AL/AL X 28, M_S
525418303115117, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV EST CT BL AL/AL X 28, M_S
525418305118113, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV EST CT BL AL/AL X 7 , M_S
525418306114111, PANTOPRAZOL, PANTOPRAZOL, PANTOPRAZOL, 20 MG COM REV EST CT BL AL/AL X 7 , M_S
525417602135121, PARACETAMOL, PARACETAMOL, PARACETAMOL, GOTAS - 200MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML, M_S
525417601112126, PARACETAMOL, PARACETAMOL, PARACETAMOL, 750MG COM REVES CT BL AL PLAS AMB X 20, M_S
525421202111116, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 10 MG COM CT BL AL/AL X 30, M_S
525421203118114, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL/AL X 30, M_S
525421201115118, PRAVASTATINA SÓDICA, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 40 MG COM CT BL AL/AL X 30, M_S
525417701168115, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G CREM DERM CT 1 BG AL X 30 G, M_S
525417702164113, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G POM DERM CT BG AL X 30 G, M_S
525417703179114, PROPIONATO DE CLOBETASOL, PROPIONATO CLOBETASOL, PROPIONATO CLOBETASOL, 0.5 MG/G SOL CAPILAR CT FR PLAS OPC GOT X 50G , M_S
