525420702110412, SEROPHENE, SEROPHENE, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 10, M_S
525420701114414, SEROPHENE, SEROPHENE, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, M_S
525419102113417, SEROLIFT, SEROLIFT, NOT FOUND, 50 MG COM REV CT BL AL PLAST INC X 10  , M_S
525419101117419, SEROLIFT, SEROLIFT, NOT FOUND, 50 MG COM REV CT BL AL PLAST INC X 28, M_S
525419103111418, SEROLIFT, SEROLIFT, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 30, M_S
525420102113119, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 2 , M_S
525420101117110, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1000 MG COM REV CT BL AL PLAS INC X 4, M_S
525417101136115, SIMETICONA, SIMETICONA, SIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, M_S
525420501158310, SAIZEN, SAIZEN, NOT FOUND, 1.33 MG PO LIOF INJ CT 1 FA VD INC + AMP DIL X 1 ML, M_S
525414030044703, SAIZEN, SAIZEN, NOT FOUND, 5.83 MG/ML SOL INJ FR AMP VD INC X 1.03 ML , M_S
525420502154319, SAIZEN, SAIZEN, NOT FOUND, 8 MG PO LIOF INJ CT 1 FA VD INC + 1 FA VD INC DIL X 1 ML , M_S
525414030044803, SAIZEN, SAIZEN, NOT FOUND, 8 MG/ML SOL INJ FR AMP VD INC X 1.5 ML , M_S
525414030044903, SAIZEN, SAIZEN, NOT FOUND, 8 MG/ML SOL INJ FR AMP VD INC X 2.5 ML, M_S
525417201130119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.3 MG/ML XPE CT FR VD AMB X 100 ML + CP MED , M_S
