525401002117116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 20, M_S
525401001110118, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS OPC X 30, M_S
525401005116110, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 20, M_S
525401003113114, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 30, M_S
525401004111115, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS OPC X 60, M_S
525401101115413, BICONCOR, BICONCOR, NOT FOUND, 10 MG / 6.25 MG COM REV CT FR PLAS OPC X 30, M_S
525401102111411, BICONCOR, BICONCOR, NOT FOUND, 2.5 MG / 6.25 MG COM REV CT FR PLAS OPC X 30, M_S
525401103118411, BICONCOR, BICONCOR, NOT FOUND, 2.5 MG / 6.25 MG COM REV CT BL AL PLAS INC X 30, M_S
525401104114418, BICONCOR, BICONCOR, NOT FOUND, 5.0 MG / 6.25 MG COM REV CT FR PLAS OPC X 30, M_S
525401105110416, BICONCOR, BICONCOR, NOT FOUND, 5.0 MG / 6.25 MG COM REV CT BL AL PLAS INC X 30, M_S
525418401117114, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 3 MG COM CT BL AL PLAS INC X 20 , M_S
525418402113112, BROMAZEPAM, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 20 , M_S
525417301135112, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML , M_S
