512404901137318; DESALEX; DESALEX; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 100 ML + DOSADOR ; MQF
512401302135313; DESALEX; DESALEX; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + DOSADOR; MQF
512401301112311; DESALEX; DESALEX; NOT FOUND; 5 MG COM REV CT BL AL PLAS X 10; MQF
512401303115316; DESALEX; DESALEX; NOT FOUND; 5 MG COM REV CT BL AL PLAS X 30; MQF
512407203112314; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 10; MQF
512407202116316; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 12; MQF
512407201111310; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 20; MQF
512407204119312; DESALEX D12; DESALEX D12; NOT FOUND; 2.5 MG + 120 MG COM LIB MOD CT BL AL/AL X 4; MQF
512407401135418; DRIXI; DRIXI; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 100 ML + SER DOS; MQF
512407402131416; DRIXI; DRIXI; NOT FOUND; 2 MG/ML SOL OR CT FR PLAS AMB X 50 ML + SER DOS; MQF
512401604166319; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G CREM DERM CT BG AL X 10 G; MQF
512401605162317; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G POM DERM CT BG AL X 10 G ; MQF
512401601167314; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G CREM DERM CT BG AL X 30 G; MQF
512401603161313; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/G POM DERM CT BG AL X 30 G; MQF
512401606169315; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/ML LOC CT FR PLAS OPC X 10 ML; MQF
512401602171315; DIPROSONE; DIPROSONE; NOT FOUND; 0.64 MG/ML LOC CT FR PLAS OPC X 30 ML; MQF
512401701153315; DIPROSPAN; DIPROSPAN; NOT FOUND; 5.0 MG/ML + 2.0 MG/ML SUS INJ CT SER X 1 ML + HASTE + AGULHA; MQF
512401702151316; DIPROSPAN; DIPROSPAN; NOT FOUND; 5.0 MG/ML + 2.0 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER; MQF
512401403160313; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1.0 MG/G CREM CT BG AL X 10 G; MQF
512401401168317; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1 MG/G CREM CT BG AL X 30 G; MQF
512401404167311; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1.0 MG/G POM CT BG AL X 10 G; MQF
512401402164315; DIPROGENTA; DIPROGENTA; NOT FOUND; 0.64 MG/G + 1 MG/G POM CT BG AL X 30 G; MQF
512401503165317; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/G + 30 MG/G POM CT BG AL X 10 G; MQF
512401504171310; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC X 10 ML; MQF
512401502134310; DIPROSALIC; DIPROSALIC; NOT FOUND; 0.64 MG/ML + 20 MG/ML SOL TOP CT FR PLAS OPC X 30 ML; MQF
