1410700670023; PHARNOLOL; PHARNOLOL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 30; P7B
1410700150011; PEPGASTRIN; PEPGASTRIN; NOT FOUND; 300 MG COM CT 2 ENV AL X 10; P7B
1410700150021; PEPGASTRIN; PEPGASTRIN; NOT FOUND; 300MG COM CT 50 ENV AL X 10; P7B
1410700720047; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 28; P7B
1410700720039; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; P7B
1410700720020; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; P7B
1410700720012; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; P7B
1410700610039; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS AMB X 200 (EMB MULT) ; P7B
1410700610012; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500 MG COM CT BL AL PLAS AMB X 200 (EMB MULT); P7B
1410700620018; PARAFLAN; PARAFLAN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200; P7B
1410700620034; PARAFLAN; PARAFLAN; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200 ; P7B
1410700350010; PENTRAT; PENTRAT; NOT FOUND; 400 MG DRG CT BL AL PLAS INC X 20; P7B
