1410700370021; DOXICLIN; DOXICLIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15; P7B
1410700370062; DOXICLIN; DOXICLIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 600 (EMB HOSP); P7B
1410700860019; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; P7B
1410700860027; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; P7B
1410700860035; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 500 (EMB HOSP); P7B
1410700660011; DICLOFENACO DIETILAMÔNIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 11.6 MG/G GEL CT BG AL X 60 G; P7B
1410700680010; DICLOFENACO POTÁSSICO; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG COM REV CT BL AL PLAS INC X 20; P7B
1410700030016; DIGOX; DIGOX; NOT FOUND; 0.25 MG COM CT BL AL PLAS AMB X 20; P7B
1410700030024; DIGOX; DIGOX; NOT FOUND; 0.25 MG COM CX BL AL PLAS AMB X 500; P7B
1410700590021; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP); P7B
1410700590011; DIGOXINA; DIGOXINA; DIGOXINA; 0.25 MG COM CT BL AL PLAS AMB X 20; P7B
1410700310027; DAKNAX; DAKNAX; NOT FOUND; 20 MG / ML LOC CT FR PLAS OPC X 30 ML; P7B
