1410700090027; FENAFLEX ODC; FENAFLEX ODC; NOT FOUND; COMP BL 144; P7B
1410700090035; FENAFLEX ODC; FENAFLEX ODC; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 200; P7B
1410700090019; FENAFLEX - ODC; FENAFLEX ODC; NOT FOUND; 35 MG + 300 MG + 50 MG COM CT BL AL PLAS AMB X 144 (EMB MULT); P7B
1410700390012; FARMICINA; FARMICINA; NOT FOUND; 300 MG/ML SOL INJ CT AMP VD INC X 1 ML; P7B
1410700390039; FARMICINA; FARMICINA; NOT FOUND; 300 MG/ML SOL INJ CT AMP VD INC X 2 ML; P7B
1410700390020; FARMICINA; FARMICINA; NOT FOUND; 300 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML; P7B
1410700390047; FARMICINA; FARMICINA; NOT FOUND; 300 MG/ML SOL INJ CT 50 AMP VD INC X 2 ML; P7B
1410700700011; FARMAFLAN; FARMAFLAN; NOT FOUND; 11.6 MG/G GEL CT BG AL X 60 G; P7B
1410700160017; FARMAZOL; FARMAZOL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; P7B
1410700160025; FARMAZOL; FARMAZOL; NOT FOUND; 150 MG CAP DURA CT BL AL PLAS TRANS X 500 (EMB HOSP); P7B
1410700140032; FUROSEN; FUROSEN; NOT FOUND; 10 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); P7B
1410700140040; FUROSEN; FUROSEN; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; P7B
1410700430014; FARMOXICAM; FARMOXICAM; NOT FOUND; 10MG CAP GEL CT BL INC X 15; P7B
1410700430030; FARMOXICAM; FARMOXICAM; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; P7B
