1410700270025; ESCOPEN COMPOSTO; ESCOPEN COMPOSTO; NOT FOUND; 10MG + 250MG COMP REV CT BL AL PLAS INC X 250; P7B
1410700110011; EMEBRID; EMEBRID; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 400; P7B
1410700270017; ESCOPEN COMPOSTO; ESCOPEN COMPOSTO; NOT FOUND; 10MG + 250MG COMP REV CT BL AL PLAS INC X 20; P7B
1410700240037; ENAPLEX; ENAPLEX; NOT FOUND; 10 MG COM CT ENV AL POLIET X 30; P7B
1410700240045; ENAPLEX; ENAPLEX; NOT FOUND; 10MG COMP ENV 300+G119+G54; P7B
1410700240061; ENAPLEX; ENAPLEX; NOT FOUND; 20MG COMP BL 300; P7B
1410700240053; ENAPLEX; ENAPLEX; NOT FOUND; 20 MG COM CT ENV AL POLIET X 30; P7B
1410700240029; ENAPLEX; ENAPLEX; NOT FOUND; 5MG COMP ENV 300; P7B
1410700240010; ENAPLEX; ENAPLEX; NOT FOUND; 5 MG COMP ENV 30; P7B
1410700070026; ELPRAZOL; ELPRAZOL; NOT FOUND; 10MG CAPS 14; P7B
1410700070034; ELPRAZOL; ELPRAZOL; NOT FOUND; 20MG CAPS 07; P7B
1410700070042; ELPRAZOL; ELPRAZOL; NOT FOUND; 20MG CAPS 14; P7B
1410700070050; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28 ; P7B
1410700070069; ELPRAZOL; ELPRAZOL; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; P7B
1410700070190; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 56 ; P7B
1410700070115; ELPRAZOL; ELPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC X 56; P7B
1410700450015; ELCODRIX; ELCODRIX; NOT FOUND; 500MG COM VER CT BL 3X4; P7B
1410700450023; ELCODRIX; ELCODRIX; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 120; P7B
