77228, AC FUSI+VAL BET MG , AC FUSI VAL BET, NOT FOUND, CREME DERMAT 15 G x 1, LG6
68134, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, CREME 30 G x 1, LG6
68135, AC TR+S.N+GR+NI.MG , AC TR S N GR NI, NOT FOUND, POM. 30 G x 1, LG6
81131, AC TRANEXAMICO MG , AC TRANEXAMICO, ACIDO TRANEXAMICO, CPR 250 MG x 12, LG6
68139, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. AD 50 MG 120 ML x 1 (/5ML), LG6
68138, ACEBROFILINA MG , ACEBROFILINA, ACEBROFILINA, XAR. PED. 25 MG 120 ML x 1 (/5ML), LG6
94184, ACECLO-GRAN , ACECLO GRAN, NOT FOUND, CPR REVEST 100 MG x 12, LG6
89129, ACECLOFENACO MG , ACECLOFENACO, ACECLOFENACO, CPR REVEST 100 MG x 12, LG6
68145, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XPE INF. 20 MG 120 ML x 1 (/ML), LG6
68144, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XPE ADLT 40 MG 120 ML x 1 (/ML), LG6
68143, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, XAR. 20 MG 100 ML x 1 (/ML), LG6
68142, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 600 MG 5 G x 16, LG6
71598, ACETILCISTEINA MG , ACETILCISTEINA, ACETILCISTEINA, GRAN ENVELO. 600 MG 5 G x 10, LG6
68146, ACETON.TRIANCIN.MG , ACETON TRIANCIN, NOT FOUND, POM.BUCAL 1 MG 10 G x 1 (/G), LG6
68957, ACICLOVIR MG , ACICLOVIR, ACICLOVIR, CREME 50 MG 10 G x 1 (/G), LG6
75523, ACID.MEFENAMICO MG , ACID MEFENAMICO, ACIDO MEFENAMICO, CPR 500 MG x 24, LG6
68148, ADAPALENO MG , ADAPALENO, ADAPALENO, GEL. 1 MG 30 G x 1 (/G), LG6
68147, ADAPALENO MG , ADAPALENO, ADAPALENO, CREME 1 MG 30 G x 1 (/G), LG6
85592, ADAPTIS , ADAPTIS, NOT FOUND, SOL OFTAL 0.50 % 10 ML x 1, LG6
85593, ADAPTIS , ADAPTIS, NOT FOUND, SOL OFTAL 1 % 10 ML x 1, LG6
85595, ADAPTIS FRESH , ADAPTIS FRESH, NOT FOUND, SOL OFTAL 0.40 % 10 ML x 1, LG6
85672, ADAPTIS GEL , ADAPTIS GEL, NOT FOUND, GEL OFTAL 0.20 % 10 G x 1, LG6
78320, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 50 MG x 1, LG6
77950, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 50 MG x 2, LG6
77951, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 50 MG x 4, LG6
137559, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 50 MG x 12, LG6
77953, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 100 MG x 4, LG6
77952, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 50 MG x 8, LG6
77949, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 25 MG x 4, LG6
77948, AH-ZUL , AH ZUL, NOT FOUND, CPR REVEST 25 MG x 2, LG6
68149, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 400 MG x 1, LG6
68614, ALBENDAZOL MG , ALBENDAZOL, ALBENDAZOL, CPR MASC 200 MG x 2, LG6
68554, ALBENDAZOL SUSP MG , ALBENDAZOL SUSP, NOT FOUND, SUSP 40 MG 10 ML x 1 (/ML), LG6
68153, ALENDRONATO SOD.MG , ALENDRONATO SOD, ALENDRONATO SODIO TRI-HIDRATADO, CPR 70 MG x 4, LG6
58097, ALERGALIV , ALERGALIV, NOT FOUND, CPR 10 MG x 15, LG6
62266, ALERGALIV , ALERGALIV, NOT FOUND, CPR 10 MG x 12, LG6
58098, ALERGALIV , ALERGALIV, NOT FOUND, XAR. 1 MG 100 ML x 1 (/ML), LG6
68720, ALERGALIV D , ALERGALIV D, NOT FOUND, XAR. 1 MG 60 ML x 1 (/12), LG6
70148, ALGE.AC+ENA.EST.MG , ALGE AC ENA EST, NOT FOUND, A.IM 150 MG 1 ML x 1 (/10), LG6
68154, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.50 MG x 20, LG6
68155, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 20, LG6
69898, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 20, LG6
68156, ALPRAZOLAM MG , ALPRAZOLAM, ALPRAZOLAM, CPR 0.25 MG x 20, LG6
73803, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 14 (/125), LG6
73802, AMOXI+CLAVU.POT.MG , AMOXI CLAVU POT, NOT FOUND, CPR REVEST 875 MG x 12 (/125), LG6
75729, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, LG6
68157, AMOXICILINA MG , AMOXICILINA, AMOXICILINA, CPR REVEST 875 MG x 14, LG6
32394, AMPIGRAN , AMPIGRAN, NOT FOUND, CAPS 500 MG x 12, LG6
57935, ANSIALEN B6 , ANSIALEN B6, NOT FOUND, CPR x 20, LG6
76239, ASMALIV , ASMALIV, NOT FOUND, SOLN INALT 0.25 MG 20 ML x 1 (/ML), LG6
71600, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 25 MG x 30, LG6
71601, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 50 MG x 30, LG6
71599, ATENOLOL MG , ATENOLOL, ATENOLOL, CPR 100 MG x 30, LG6
72909, ATENOLOL+CLORTA.MG , ATENOLOL CLORTA, NOT FOUND, CPR 12.5 MG x 30 (/50), LG6
