68772, HALOPERIDOL MG , HALOPERIDOL, HALOPERIDOL, GOTAS 2 MG 20 ML x 1 (/ML), LG6
104607, HEDRA EXPEC , HEDRA EXPEC, NOT FOUND, XAROPE 7 MG 100 ML x 1 (/ML), LG6
104608, HEDRA EXPEC , HEDRA EXPEC, NOT FOUND, XAROPE 7 MG 200 ML x 1 (/ML), LG6
96200, HEM ZOLPIDEM MG , HEM ZOLPIDEM, NOT FOUND, CPR REVEST 10 MG x 20, LG6
77436, HIDR+TRE+AC FLU MG , HIDR TRE AC FLU, NOT FOUND, CREME DERMAT 15 G x 1, LG6
77437, HIDR+TRE+AC FLU MG , HIDR TRE AC FLU, NOT FOUND, CREME DERMAT 30 G x 1, LG6
53375, HIDRABENE , HIDRABENE, NOT FOUND, POLVO ENVELO 27.9 G x 4, LG6
69536, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, LG6
69535, HIDROCLOROTIAZI.MG , HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 20, LG6
49004, HIDROCORTE , HIDROCORTE, NOT FOUND, CREME 20 G x 1, LG6
70313, HIDROCORTISONA MG , HIDROCORTISONA, HIDROCORTISONA, POM. 10 MG 30 G x 1 (/G), LG6
69772, HIDROCORTISONA MG , HIDROCORTISONA, HIDROCORTISONA, SOLN CAPIL 10 MG 60 ML x 1 (/ML), LG6
75942, HIDROQUINONA MG , HIDROQUINONA, HIDROQUINONA, GEL DERMAT. 40 MG 30 G x 1 (/G), LG6
77310, HIDROQUINONA MG , HIDROQUINONA, HIDROQUINONA, CREME DERMAT 40 MG 30 G x 1 (/G), LG6
