71466, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 300 MG x 30, LG6
71465, GABAPENTINA MG , GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, LG6
68246, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 600 MG x 24, LG6
68247, GENFIBROZILA MG , GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 12, LG6
47917, GENTAGRAN , GENTAGRAN, NOT FOUND, POM. OFTAL 0.30 % 3 G x 1, LG6
77136, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 3 ML x 1 (/ML), LG6
77137, GLAMIGAN , GLAMIGAN, NOT FOUND, SOLN OFTAL 0.30 MG 5 ML x 1 (/ML), LG6
68734, GLIANSOR , GLIANSOR, NOT FOUND, CPR 2 MG x 30, LG6
68735, GLIANSOR , GLIANSOR, NOT FOUND, CPR 4 MG x 30, LG6
72333, GLIANSOR , GLIANSOR, NOT FOUND, CPR 1 MG x 30, LG6
68248, GLIBENCLAMIDA MG , GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, LG6
78705, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, LG6
77306, GLIMEPIRIDA MG , GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 30, LG6
55210, GLYFUCAN , GLYFUCAN, NOT FOUND, CAPS 150 MG x 1, LG6
69109, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAROPE MEL 16 MG 120 ML x 1 (/ML), LG6
68249, GUAIFENESINA MG , GUAIFENESINA, GUAIFENESINA, XAR. 13.3 MG 120 ML x 1 (/ML), LG6
