75218, TAVAGRAN , TAVAGRAN, NOT FOUND, CPR REVEST 500 MG x 7, LG6
75216, TAVAGRAN , TAVAGRAN, NOT FOUND, CPR REVEST 500 MG x 10, LG6
75217, TAVAGRAN , TAVAGRAN, NOT FOUND, CPR REVEST 500 MG x 3, LG6
100278, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 80 MG x 30, LG6
100277, TELMISARTANA MG , TELMISARTANA, TELMISARTANA, CPR 40 MG x 30, LG6
58887, TENSIDIPIN , TENSIDIPIN, NOT FOUND, CPR 5 MG x 20, LG6
68298, TIABENDAZOL MG , TIABENDAZOL, TIABENDAZOL, CPR 500 MG x 6, LG6
103081, TIBOLONA MG , TIBOLONA, TIBOLONA, CPR 2.50 MG x 30, LG6
103400, TILOGRAN , TILOGRAN, NOT FOUND, CPR 2.50 MG x 30, LG6
68302, TINID+NIT.MICON.MG , TINID NIT MICON, NOT FOUND, CR.VAG.7 APL 45 G x 1, LG6
68791, TIOCO+TINIDAZOL MG , TIOCO TINIDAZOL, NOT FOUND, CR.VAG.7 APL 35 G x 1, LG6
77356, TOBRACULAR , TOBRACULAR, NOT FOUND, SOLN OFTAL 3 MG 5 ML x 1 (/ML), LG6
76813, TOBRAMICINA MG , TOBRAMICINA, TOBRAMICINA, SOLN OFTAL 3 MG 5 ML x 1 (/ML), LG6
69979, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 25 MG x 60, LG6
69978, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 100 MG x 60, LG6
73456, TOPIRAMATO MG , TOPIRAMATO, TOPIRAMATO, CPR REVEST 50 MG x 60, LG6
81121, TRAVAMED , TRAVAMED, NOT FOUND, SOLN OFTAL 0.04 MG 2.50 ML x 1, LG6
83438, TREXACONT , TREXACONT, NOT FOUND, CPR 250 MG x 12, LG6
