505208701160415, VAGITRIN N, VAGITRIN N, NOT FOUND, TB 30 G, BNK
505208801114415, VIETA, VIETA, NOT FOUND, CX 30 CAPS, BNK
505208901178415, VISALMIN COLÍRIO, VISALMIN COLIRIO, NOT FOUND, FR 10 ML, BNK
505209001170416, VISIPLEX COLIRIO, VISIPLEX COLIRIO, NOT FOUND, FR 15 ML, BNK
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 DRG CT BL AL PLAS INC X 20, BNK
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 SOL INJ CX 3 AMP VD X 2 ML, BNK
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, BNK
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DEXA COMP REV CT BL AL PLAS INC X 20, BNK
505209206163411, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 10 MG/G GEL CT BG AL X 60 G, BNK
505209201110417, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 100MG (DICLOFENACO SODICO) CX 10 COMP, BNK
505209202117415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 50 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209203113413, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 75 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209205159410, VOLTAFLAN, VOLTAFLAN, NOT FOUND, INJ 25MG/ML (DICLOFENACO SODICO) CX 5 AMP 3 ML, BNK
505209204160415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, TB 30 GEL (DICLOFENACO SODICO), BNK
505209301115410, VOLTRIX, VOLTRIX, NOT FOUND, 50 MG (DICLOFENACO DE POTASSIO) CX 10 DRG, BNK
505209302111419, VOLTRIX, VOLTRIX, NOT FOUND, AP CX 10 DRG (DICLOFENACO DE POTASSIO), BNK
505209304130410, VOLTRIX, VOLTRIX, NOT FOUND, FR 10 ML GOTAS (DICLOFENACO DE POTASSIO), BNK
505209303169410, VOLTRIX, VOLTRIX, NOT FOUND, GEL (DICLOFENACO DE POTASSIO) TB 30 G, BNK
505209305153414, VOLTRIX, VOLTRIX, NOT FOUND, INJ 75 MG (DICLOFENACO DE POTASSIO) CX 10 AMP 3 ML, BNK
505208701160415, VAGITRIN N, VAGITRIN N, NOT FOUND, TB 30 G, BNK
505208901178415, VISALMIN COLÍRIO, VISALMIN COLIRIO, NOT FOUND, FR 10 ML, BNK
505209001170416, VISIPLEX COLIRIO, VISIPLEX COLIRIO, NOT FOUND, FR 15 ML, BNK
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 DRG CT BL AL PLAS INC X 20, BNK
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 SOL INJ CX 3 AMP VD X 2 ML, BNK
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, BNK
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DEXA COMP REV CT BL AL PLAS INC X 20, BNK
505209206163411, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 10 MG/G GEL CT BG AL X 60 G, BNK
505209201110417, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 100MG (DICLOFENACO SODICO) CX 10 COMP, BNK
505209202117415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 50 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209203113413, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 75 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209205159410, VOLTAFLAN, VOLTAFLAN, NOT FOUND, INJ 25MG/ML (DICLOFENACO SODICO) CX 5 AMP 3 ML, BNK
505209204160415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, TB 30 GEL (DICLOFENACO SODICO), BNK
505209301115410, VOLTRIX, VOLTRIX, NOT FOUND, 50 MG (DICLOFENACO DE POTASSIO) CX 10 DRG, BNK
505209302111419, VOLTRIX, VOLTRIX, NOT FOUND, AP CX 10 DRG (DICLOFENACO DE POTASSIO), BNK
505209304130410, VOLTRIX, VOLTRIX, NOT FOUND, FR 10 ML GOTAS (DICLOFENACO DE POTASSIO), BNK
505209303169410, VOLTRIX, VOLTRIX, NOT FOUND, GEL (DICLOFENACO DE POTASSIO) TB 30 G, BNK
505209305153414, VOLTRIX, VOLTRIX, NOT FOUND, INJ 75 MG (DICLOFENACO DE POTASSIO) CX 10 AMP 3 ML, BNK
505208701160415, VAGITRIN N, VAGITRIN N, NOT FOUND, TB 30 G, BNK
505208901178415, VISALMIN COLÍRIO, VISALMIN COLIRIO, NOT FOUND, FR 10 ML, BNK
505209001170416, VISIPLEX COLIRIO, VISIPLEX COLIRIO, NOT FOUND, FR 15 ML, BNK
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 DRG CT BL AL PLAS INC X 20, BNK
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 SOL INJ CX 3 AMP VD X 2 ML, BNK
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, BNK
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DEXA COMP REV CT BL AL PLAS INC X 20, BNK
505209206163411, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 10 MG/G GEL CT BG AL X 60 G, BNK
505209201110417, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 100MG (DICLOFENACO SODICO) CX 10 COMP, BNK
505209202117415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 50 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209203113413, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 75 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209205159410, VOLTAFLAN, VOLTAFLAN, NOT FOUND, INJ 25MG/ML (DICLOFENACO SODICO) CX 5 AMP 3 ML, BNK
505209204160415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, TB 30 GEL (DICLOFENACO SODICO), BNK
505209301115410, VOLTRIX, VOLTRIX, NOT FOUND, 50 MG (DICLOFENACO DE POTASSIO) CX 10 DRG, BNK
505209302111419, VOLTRIX, VOLTRIX, NOT FOUND, AP CX 10 DRG (DICLOFENACO DE POTASSIO), BNK
505209304130410, VOLTRIX, VOLTRIX, NOT FOUND, FR 10 ML GOTAS (DICLOFENACO DE POTASSIO), BNK
505209303169410, VOLTRIX, VOLTRIX, NOT FOUND, GEL (DICLOFENACO DE POTASSIO) TB 30 G, BNK
505209305153414, VOLTRIX, VOLTRIX, NOT FOUND, INJ 75 MG (DICLOFENACO DE POTASSIO) CX 10 AMP 3 ML, BNK
505208701160415, VAGITRIN N, VAGITRIN N, NOT FOUND, TB 30 G, BNK
505208901178415, VISALMIN COLÍRIO, VISALMIN COLIRIO, NOT FOUND, FR 10 ML, BNK
505209001170416, VISIPLEX COLIRIO, VISIPLEX COLIRIO, NOT FOUND, FR 15 ML, BNK
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 DRG CT BL AL PLAS INC X 20, BNK
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 SOL INJ CX 3 AMP VD X 2 ML, BNK
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, BNK
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DEXA COMP REV CT BL AL PLAS INC X 20, BNK
505209206163411, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 10 MG/G GEL CT BG AL X 60 G, BNK
505209201110417, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 100MG (DICLOFENACO SODICO) CX 10 COMP, BNK
505209202117415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 50 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209203113413, VOLTAFLAN, VOLTAFLAN, NOT FOUND, 75 MG (DICLOFENACO SODICO) CX 20 COMP, BNK
505209205159410, VOLTAFLAN, VOLTAFLAN, NOT FOUND, INJ 25MG/ML (DICLOFENACO SODICO) CX 5 AMP 3 ML, BNK
505209204160415, VOLTAFLAN, VOLTAFLAN, NOT FOUND, TB 30 GEL (DICLOFENACO SODICO), BNK
505209301115410, VOLTRIX, VOLTRIX, NOT FOUND, 50 MG (DICLOFENACO DE POTASSIO) CX 10 DRG, BNK
505209302111419, VOLTRIX, VOLTRIX, NOT FOUND, AP CX 10 DRG (DICLOFENACO DE POTASSIO), BNK
505209304130410, VOLTRIX, VOLTRIX, NOT FOUND, FR 10 ML GOTAS (DICLOFENACO DE POTASSIO), BNK
505209303169410, VOLTRIX, VOLTRIX, NOT FOUND, GEL (DICLOFENACO DE POTASSIO) TB 30 G, BNK
505209305153414, VOLTRIX, VOLTRIX, NOT FOUND, INJ 75 MG (DICLOFENACO DE POTASSIO) CX 10 AMP 3 ML, BNK
505208701160415, VAGITRIN N, VAGITRIN N, NOT FOUND, TB 30 G, BNK
505208901178415, VISALMIN COLÍRIO, VISALMIN COLIRIO, NOT FOUND, FR 10 ML, BNK
505209001170416, VISIPLEX COLIRIO, VISIPLEX COLIRIO, NOT FOUND, FR 15 ML, BNK
505209102112411, VITATONUS, VITATONUS, NOT FOUND, 5000 DRG CT BL AL PLAS INC X 20, BNK
505209103151410, VITATONUS, VITATONUS, NOT FOUND, 5000 SOL INJ CX 3 AMP VD X 2 ML, BNK
505209101159414, VITATONUS, VITATONUS, NOT FOUND, CX 2 AMP (2 M/1ML) DEXA, BNK
505209104115418, VITATONUS, VITATONUS, NOT FOUND, DEXA COMP REV CT BL AL PLAS INC X 20, BNK
