505200101113410, ACEMEDROX, ACEMEDROX, NOT FOUND, CX 5 COMP, BNK
505200201118414, ACIVERAL, ACIVERAL, NOT FOUND, 200 MG CX 25 COMP, BNK
505200203110410, ACIVERAL, ACIVERAL, NOT FOUND, 400 MG COM REV CT 7 BL AL PLAS INC X 10, BNK
505200202165416, ACIVERAL, ACIVERAL, NOT FOUND, CREME TB 10 GRS, BNK
505200301112418, ALCALONE PLUS, ALCALONE PLUS, NOT FOUND, CX 20 COMP MASTIGAVEIS, BNK
505200302135411, ALCALONE PLUS, ALCALONE PLUS, NOT FOUND, FR 240 ML SUSPENSAO, BNK
505200401117411, ALETIR, ALETIR, NOT FOUND, (CETIRIZINA) CX 6 COMP, BNK
505200402131418, ALETIR, ALETIR, NOT FOUND, (CETIRIZINA) ORAL FR 75 ML, BNK
505203101114411, ALFUZINA, ALFUZINA, NOT FOUND, CX 30 COMP REV, BNK
505200601132414, AMOXITAN, AMOXITAN, NOT FOUND, 250 MG SUSPENSAO FR 60 ML, BNK
505200604131419, AMOXITAN, AMOXITAN, NOT FOUND, 250 MG/ 5 ML PO PARA SUSPENSAO FR 150 ML, BNK
505200602112417, AMOXITAN, AMOXITAN, NOT FOUND, 500 MG CX 12 CAPS, BNK
505200603119415, AMOXITAN, AMOXITAN, NOT FOUND, 500 MG CX 6 CAPS, BNK
505200701137418, AMPICIFLAN, AMPICIFLAN, NOT FOUND, 250 MG PO PARA SUSPENSAO FR 60 ML, BNK
505200702117410, AMPICIFLAN, AMPICIFLAN, NOT FOUND, 500 MG CX 12 CAPS, BNK
505200703113419, AMPICIFLAN, AMPICIFLAN, NOT FOUND, 500 MG CX 6 CAPS, BNK
505200801115416, APETIL, APETIL, NOT FOUND, CX 20 COMP, BNK
505200802138411, APETIL, APETIL, NOT FOUND, FR 100 ML LIQUIDO, BNK
505200901136415, ASMIFEN, ASMIFEN, NOT FOUND, CETOTIFENO 0.2 MG/ML XAROPE FR 100 ML, BNK
505200902116418, ASMIFEN, ASMIFEN, NOT FOUND, CETOTIFENO 1 MG CX 20 COMP, BNK
505201001112410, AZALIDE, AZALIDE, NOT FOUND, 250 MG.(AZITROMICINA) CX 4 CAPS., BNK
505201002119419, AZALIDE, AZALIDE, NOT FOUND, 250 MG.(AZITROMICINA) CX 6 CAPS., BNK
505201003131412, AZALIDE, AZALIDE, NOT FOUND, 600 MG.(AZITROMICINA) PO P/ SUSP. 15 ML, BNK
505201004138410, AZALIDE, AZALIDE, NOT FOUND, 900 MG.(AZITROMICINA) PO P/ SUSP. 22.5 ML, BNK
505200101113410, ACEMEDROX, ACEMEDROX, NOT FOUND, CX 5 COMP, BNK
505200201118414, ACIVERAL, ACIVERAL, NOT FOUND, 200 MG CX 25 COMP, BNK
505200203110410, ACIVERAL, ACIVERAL, NOT FOUND, 400 MG COM REV CT 7 BL AL PLAS INC X 10, BNK
505200202165416, ACIVERAL, ACIVERAL, NOT FOUND, CREME TB 10 GRS, BNK
505200301112418, ALCALONE PLUS, ALCALONE PLUS, NOT FOUND, CX 20 COMP MASTIGAVEIS, BNK
505200302135411, ALCALONE PLUS, ALCALONE PLUS, NOT FOUND, FR 240 ML SUSPENSAO, BNK
505200401117411, ALETIR, ALETIR, NOT FOUND, (CETIRIZINA) CX 6 COMP, BNK
505200402131418, ALETIR, ALETIR, NOT FOUND, (CETIRIZINA) ORAL FR 75 ML, BNK
