505201601111415, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 12.5 MG CX 15 COMP, BNK
505201602116410, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 25 MG CX 16 COMP, BNK
505201603112419, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 50 MG CX 16 COMP, BNK
505201901131411, CEFANAL, CEFANAL, NOT FOUND, 250MG/5ML PO PARA SUSPENSAO FR 100 ML, BNK
505201902111414, CEFANAL, CEFANAL, NOT FOUND, 500 MG CX 8 COMP, BNK
505202001167418, CETOBETA, CETOBETA, NOT FOUND, TB 30 G CREME, BNK
505202002163416, CETOBETA, CETOBETA, NOT FOUND, TB 30 G POMADA, BNK
505210001138117, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210002134115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210101116115, CLORIDRATO DE METFORMINA , CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BNK
505202101137413, CLOTÁSSIO, CLOTASSIO, NOT FOUND, FR 100 ML, BNK
505202201131417, COMPLEVITAN, COMPLEVITAN, NOT FOUND, FR 100 ML, BNK
505202202111411, COMPLEVITAN, COMPLEVITAN, NOT FOUND, FR 30 DRG, BNK
505202203134413, COMPLEVITAN, COMPLEVITAN, NOT FOUND, FR 30 ML, BNK
505202301160419, CREMEDERME, CREMEDERME, NOT FOUND, TB 20 G CREME, BNK
505202302167417, CREMEDERME, CREMEDERME, NOT FOUND, TB. 20 GR POMADA, BNK
505201601111415, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 12.5 MG CX 15 COMP, BNK
505201602116410, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 25 MG CX 16 COMP, BNK
505201603112419, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 50 MG CX 16 COMP, BNK
505201901131411, CEFANAL, CEFANAL, NOT FOUND, 250MG/5ML PO PARA SUSPENSAO FR 100 ML, BNK
505201902111414, CEFANAL, CEFANAL, NOT FOUND, 500 MG CX 8 COMP, BNK
505202001167418, CETOBETA, CETOBETA, NOT FOUND, TB 30 G CREME, BNK
505202002163416, CETOBETA, CETOBETA, NOT FOUND, TB 30 G POMADA, BNK
505210001138117, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210002134115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210101116115, CLORIDRATO DE METFORMINA , CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BNK
505202101137413, CLOTÁSSIO, CLOTASSIO, NOT FOUND, FR 100 ML, BNK
505202301160419, CREMEDERME, CREMEDERME, NOT FOUND, TB 20 G CREME, BNK
505202302167417, CREMEDERME, CREMEDERME, NOT FOUND, TB. 20 GR POMADA, BNK
505201601111415, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 12.5 MG CX 15 COMP, BNK
505201602116410, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 25 MG CX 16 COMP, BNK
505201603112419, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 50 MG CX 16 COMP, BNK
505201901131411, CEFANAL, CEFANAL, NOT FOUND, 250MG/5ML PO PARA SUSPENSAO FR 100 ML, BNK
505201902111414, CEFANAL, CEFANAL, NOT FOUND, 500 MG CX 8 COMP, BNK
505202001167418, CETOBETA, CETOBETA, NOT FOUND, TB 30 G CREME, BNK
505202002163416, CETOBETA, CETOBETA, NOT FOUND, TB 30 G POMADA, BNK
505210001138117, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210002134115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210101116115, CLORIDRATO DE METFORMINA , CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BNK
505202101137413, CLOTÁSSIO, CLOTASSIO, NOT FOUND, FR 100 ML, BNK
505202301160419, CREMEDERME, CREMEDERME, NOT FOUND, TB 20 G CREME, BNK
505202302167417, CREMEDERME, CREMEDERME, NOT FOUND, TB. 20 GR POMADA, BNK
505201601111415, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 12.5 MG CX 15 COMP, BNK
505201602116410, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 25 MG CX 16 COMP, BNK
505201603112419, CAPTOPIRIL, CAPTOPIRIL, NOT FOUND, 50 MG CX 16 COMP, BNK
505201901131411, CEFANAL, CEFANAL, NOT FOUND, 250MG/5ML PO PARA SUSPENSAO FR 100 ML, BNK
505201902111414, CEFANAL, CEFANAL, NOT FOUND, 500 MG CX 8 COMP, BNK
505202001167418, CETOBETA, CETOBETA, NOT FOUND, TB 30 G CREME, BNK
505202002163416, CETOBETA, CETOBETA, NOT FOUND, TB 30 G POMADA, BNK
505210001138117, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210002134115, CLORIDRATO DE AMBROXOL, CLORIDRATO AMBROXOL, CLORIDRATO AMBROXOL, 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, BNK
505210101116115, CLORIDRATO DE METFORMINA , CLORIDRATO METFORMINA, CLORIDRATO METFORMINA, 850 MG COM REV CT BL AL PLAS INC X 30, BNK
505202101137413, CLOTÁSSIO, CLOTASSIO, NOT FOUND, FR 100 ML, BNK
505202301160419, CREMEDERME, CREMEDERME, NOT FOUND, TB 20 G CREME, BNK
505202302167417, CREMEDERME, CREMEDERME, NOT FOUND, TB. 20 GR POMADA, BNK
