510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
510806602111415, TETRACILIL, TETRACILIL, NOT FOUND, 500MG CX C/ 100 CAPS, GP8
510806801114414, TRICBAN, TRICBAN, NOT FOUND, 400:80MG CX C/ 20 CPR, GP8
510806802137418, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 100 ML, GP8
510806803133416, TRICBAN, TRICBAN, NOT FOUND, 400:80MG SUS FR X 60 ML, GP8
510806601174413, TETRACILIL, TETRACILIL, NOT FOUND, 0.5% POM OFTAL CX C/1 BISN X 3.5G, GP8
