510803202112411, GASTROX, GASTROX, NOT FOUND, 300 MG COM CT 25 BL AL PLAS INC X 10, GP8
510803201116411, GASTROX, GASTROX, NOT FOUND, 300MG CX C/ 20 CPR, GP8
510803203135413, GASTROX, GASTROX, NOT FOUND, 310MG/5ML CX C 50 FR X 100ML, GP8
510803204131411, GASTROX, GASTROX, NOT FOUND, 62 MG/ML SUS OR CT FR VD AMB X 100 ML, GP8
510803301153416, GENTAMICIL, GENTAMICIL, NOT FOUND, 20MG/ML INJ CX C/ 2 AMP. X 1ML, GP8
510803302151417, GENTAMICIL, GENTAMICIL, NOT FOUND, 280MG/2ML INJ CX C/ 1 AMP. X 2ML, GP8
510803303156412, GENTAMICIL, GENTAMICIL, NOT FOUND, 80MG/2ML C / 1 AMPOLA 2ML, GP8
510803401166412, GINO-CANDIFEN, GINO CANDIFEN, NOT FOUND, CR. VAG. CX C/ 1 BISN X 50G, GP8
510807801150419, GREENCANYL, GREENCANYL, NOT FOUND, 0.5MG/ML SOL INJ CX C/ 50 AMP 1 ML, GP8
510803202112411, GASTROX, GASTROX, NOT FOUND, 300 MG COM CT 25 BL AL PLAS INC X 10, GP8
510803201116411, GASTROX, GASTROX, NOT FOUND, 300MG CX C/ 20 CPR, GP8
510803203135413, GASTROX, GASTROX, NOT FOUND, 310MG/5ML CX C 50 FR X 100ML, GP8
510803204131411, GASTROX, GASTROX, NOT FOUND, 62 MG/ML SUS OR CT FR VD AMB X 100 ML, GP8
510803301153416, GENTAMICIL, GENTAMICIL, NOT FOUND, 20MG/ML INJ CX C/ 2 AMP. X 1ML, GP8
510803302151417, GENTAMICIL, GENTAMICIL, NOT FOUND, 280MG/2ML INJ CX C/ 1 AMP. X 2ML, GP8
510803303156412, GENTAMICIL, GENTAMICIL, NOT FOUND, 80MG/2ML C / 1 AMPOLA 2ML, GP8
510803401166412, GINO-CANDIFEN, GINO CANDIFEN, NOT FOUND, CR. VAG. CX C/ 1 BISN X 50G, GP8
510807801150419, GREENCANYL, GREENCANYL, NOT FOUND, 0.5MG/ML SOL INJ CX C/ 50 AMP 1 ML, GP8
510803202112411, GASTROX, GASTROX, NOT FOUND, 300 MG COM CT 25 BL AL PLAS INC X 10, GP8
510803201116411, GASTROX, GASTROX, NOT FOUND, 300MG CX C/ 20 CPR, GP8
