510805601138419; PRAMIL; PRAMIL; NOT FOUND; 0.4% SOL OR CT 200 FR PLAS OPC GOT X 10 ML; GP8
510805602134417; PRAMIL; PRAMIL; NOT FOUND; 0.4% SOL OR CX  FR PLAS OPC GOT X 10 ML; GP8
510805604153419; PRAMIL; PRAMIL; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 2 ML; GP8
510805605151411; PRAMIL; PRAMIL; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML; GP8
510805702112415; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; GP8
510805704115411; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; GP8
510805705111411; PRAZOLEX; PRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 56; GP8
510805201131417; PARACEN; PARACEN; NOT FOUND; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; GP8
510805202111411; PARACEN; PARACEN; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 200; GP8
510805302114127; PARACETAMOL; PARACETAMOL; PARACETAMOL; 500MG CX C 200 CPR; GP8
510805203116415; PARACEN; PARACEN; NOT FOUND; 750 MG COM CT BL AL PLAS INC X 200; GP8
510805303110125; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750MG CX C/ 200 CPR; GP8
