510801201119414, CALVIN, CALVIN, NOT FOUND, 1MG CX C/ 30 CPR REVEST, GP8
510801306166412, CANDIFEN, CANDIFEN, NOT FOUND, 100MG/G CR 50G, GP8
510801301131416, CANDIFEN, CANDIFEN, NOT FOUND, 200MG/5ML SUS CX C/ 1FR X 100ML, GP8
510801302111419, CANDIFEN, CANDIFEN, NOT FOUND, 250MG CX C/ 20 CPR, GP8
510801303116414, CANDIFEN, CANDIFEN, NOT FOUND, 250MG CX C/ 200 CPR, GP8
510801307170413, CANDIFEN, CANDIFEN, NOT FOUND, 4% SUS 50 FR X 10ML, GP8
510801305119410, CANDIFEN, CANDIFEN, NOT FOUND, 400MG 200 CPR, GP8
510801304112412, CANDIFEN, CANDIFEN, NOT FOUND, 400MG CX C/ 20 CPR, GP8
510801401134417, CARBOTOSS, CARBOTOSS, NOT FOUND, 100MG/5ML XPE FR X 100ML, GP8
510801402130415, CARBOTOSS, CARBOTOSS, NOT FOUND, 250MG/5ML XPE FR X 100ML, GP8
510801502135419, CEFEXINA, CEFEXINA, NOT FOUND, 250 MG/05 ML PO SUS OR CX 50 FR VD AMB X CAPC 60 ML (EMB HOSP), GP8
510801501139410, CEFEXINA, CEFEXINA, NOT FOUND, 250MG/5ML SUS FR X 60ML, GP8
510801602113417, CETOMIZOL, CETOMIZOL, NOT FOUND, 200 MG COM CT 20 BL AL PLAS INC X 10 (EMB HOSP) , GP8
510801603111418, CETOMIZOL, CETOMIZOL, NOT FOUND, 200 MG COM CT 3 BL AL PLAS INC X 10 , GP8
510801601117419, CETOMIZOL, CETOMIZOL, NOT FOUND, 200MG CX C/ 10 CPR, GP8
510801604167417, CETOMIZOL, CETOMIZOL, NOT FOUND, 20MG/G CREME C/ 1 BISN X 30G, GP8
510801605163415, CETOMIZOL, CETOMIZOL, NOT FOUND, 20MG/G CX C/ 50 BISN X 30G, GP8
510801701111412, CINTIDINA, CINTIDINA, NOT FOUND, 200MG CX C/ 20 CPR, GP8
510801702118410, CINTIDINA, CINTIDINA, NOT FOUND, 200MG CX C/ 200 CPR, GP8
510801703157411, CINTIDINA, CINTIDINA, NOT FOUND, 300MG CX C/ 50 AMP. X 2ML, GP8
510801704153418, CINTIDINA, CINTIDINA, NOT FOUND, 300MG/2ML INJ CX C/ 6 AMP. X 2ML, GP8
510801705117415, CINTIDINA, CINTIDINA, NOT FOUND, 400MG CX C/ 20 CPR, GP8
510801801116416, CIPROFLOXIL, CIPROFLOXIL, NOT FOUND, 250MG CX C/ 14 CPR, GP8
510801804115410, CIPROFLOXIL, CIPROFLOXIL, NOT FOUND, 500MG CX C/ 14 CPR, GP8
510801901161413, CLOTRIDERM, CLOTRIDERM, NOT FOUND, 10MG/G CR. CX C/ 1 BISN X 50G, GP8
510802001164112, CLOTRIMAZOL, CLOTRIMAZOL, CLOTRIMAZOL, CR. 10MG CX C/1 BISN X 50G, GP8
510802101118414, COLCHIN, COLCHIN, NOT FOUND, 0.5MG CX C/ 20 CPR, GP8
510802201112418, CORIZIN, CORIZIN, NOT FOUND, CX C/ 20 CAPS, GP8
510801201119414, CALVIN, CALVIN, NOT FOUND, 1MG CX C/ 30 CPR REVEST, GP8
510801306166412, CANDIFEN, CANDIFEN, NOT FOUND, 100MG/G CR 50G, GP8
510801301131416, CANDIFEN, CANDIFEN, NOT FOUND, 200MG/5ML SUS CX C/ 1FR X 100ML, GP8
510801302111419, CANDIFEN, CANDIFEN, NOT FOUND, 250MG CX C/ 20 CPR, GP8
510801303116414, CANDIFEN, CANDIFEN, NOT FOUND, 250MG CX C/ 200 CPR, GP8
510801307170413, CANDIFEN, CANDIFEN, NOT FOUND, 4% SUS 50 FR X 10ML, GP8
510801305119410, CANDIFEN, CANDIFEN, NOT FOUND, 400MG 200 CPR, GP8
510801304112412, CANDIFEN, CANDIFEN, NOT FOUND, 400MG CX C/ 20 CPR, GP8
