525203801153419, ONCODOX, ONCODOX, NOT FOUND, 10 MG PO LIOF INJ CX FA VD INC, MIZ
525203802151411, ONCODOX, ONCODOX, NOT FOUND, 50 MG PO LIOF INJ CX FA VD INC, MIZ
525205502153413, OPTIVATE, OPTIVATE, NOT FOUND, 1000 UI PO LIOF INJ CX FA VD INC +  DIL FA VD INC 10 ML  + AGU FIL   , MIZ
525205504156411, OPTIVATE, OPTIVATE, NOT FOUND, 1000 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 10 ML + CONJ REC, MIZ
525205503151414, OPTIVATE, OPTIVATE, NOT FOUND, 250 UI PO LIOF INJ CX FA VD INC +  DIL  FA  VD INC 5 ML  +SER DES 2.5 ML + AGU FIL  , MIZ
525205505152418, OPTIVATE, OPTIVATE, NOT FOUND, 250 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 2.5 ML + CONJ REC, MIZ
525205501157415, OPTIVATE, OPTIVATE, NOT FOUND, 500 UI PO LIOF INJ CX FA VD INC +  DIL FA VD INC 5 ML  + AGU FIL  , MIZ
525205506159416, OPTIVATE, OPTIVATE, NOT FOUND, 500 UI PO LIOF INJ IV CX FA VD INC + DIL FA VD INC X 5 ML + CONJ REC, MIZ
525206102159412, OXALIMEIZ, OXALIMEIZ, NOT FOUND, 100 MG PO LIOF INJ IV CT FA VD AMB, MIZ
525206101152414, OXALIMEIZ, OXALIMEIZ, NOT FOUND, 50 MG PO LIOF INJ IV CT FA VD AMB, MIZ
525204602154413, ONCOBINE, ONCOBINE, NOT FOUND, 10 MG/ML SOL INJ IV CT FA VD INC X 1ML , MIZ
525204601158415, ONCOBINE, ONCOBINE, NOT FOUND, 10 MG/ML SOL INJ IV CT FA VD INC X 5ML , MIZ
