525214080020202; VIMPAT; VIMPAT; NOT FOUND; 10 MG/ML SOL OR CT FR VD AMB 200 ML; MIZ
525214080019202; VIMPAT; VIMPAT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; MIZ
525214080019302; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; MIZ
525214080019402; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 28; MIZ
525214080019502; VIMPAT; VIMPAT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 56; MIZ
525214080019602; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 14; MIZ
525214080019702; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 28; MIZ
525214080019802; VIMPAT; VIMPAT; NOT FOUND; 150 MG COM REV CT BL AL PLAS INC X 56; MIZ
525214080019902; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 14; MIZ
525214080020002; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 28; MIZ
525214080020102; VIMPAT; VIMPAT; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 56; MIZ
525214080020302; VIMPAT; VIMPAT; NOT FOUND; 10 MG /ML SOL INFUS CT FA VD INC X 20ML; MIZ
525203201156417; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 1.0 G SOL INJ CT FA VD INC X 20 ML + EQUIPO; MIZ
525203206158418; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 10 G SOL INJ CX FA VD INC X 200 ML + EQP; MIZ
525203202152415; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 2.5G SOL INJ CT FA VD INC X 50ML + EQUIPO; MIZ
525203203159413; VIGAM LIQUID; VIGAM LIQUID; NOT FOUND; 5.0 G SOL INJ CT FA VD INC X 100 ML + EQUIPO; MIZ
525204401159418; VINATIN; VINATIN; NOT FOUND; 1MG/ ML SOL INJ IV CT FA VD INC X 10 ML; MIZ
525203101151413; VACINA INFLUENZA (FRAGMENTADA, INATIVADA); VACINA INFLUENZA FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT 10 SER VD INC PRE-ENCH X 0.5ML; MIZ
525203102158411; VACINA INFLUENZA (FRAGMENTADA, INATIVADA); VACINA INFLUENZA FRAGMENTADA INATIVADA; NOT FOUND; SUS INJ CT SER VD INC PRE-ENCHX0.5ML; MIZ
