73516; GELFOAM ; GELFOAM; NOT FOUND; ESPJ. ESTERI x 6; PFZ
86895; GENOTROPIN ; GENOTROPIN; NOT FOUND; C P GOQUICK 16 IU 1 ML x 1; PFZ
86896; GENOTROPIN ; GENOTROPIN; NOT FOUND; C P GOQUICK 36 IU 1 ML x 1; PFZ
53489; GENOTROPIN ; GENOTROPIN; NOT FOUND; F.AMP LIOF 16 IU 1 ML x 1; PFZ
61936; GENOTROPIN ; GENOTROPIN; NOT FOUND; F.AMP LIOF 36 IU x 1; PFZ
58119; GEODON ; GEODON; NOT FOUND; CAPS 40 MG x 14; PFZ
58120; GEODON ; GEODON; NOT FOUND; CAPS 40 MG x 30; PFZ
76184; GEODON ; GEODON; NOT FOUND; CAPS 80 MG x 14; PFZ
58122; GEODON ; GEODON; NOT FOUND; CAPS 80 MG x 30; PFZ
62371; GEODON ; GEODON; NOT FOUND; F.AMP IM+DIL 20 MG 1 ML x 1; PFZ
51179; GINO-FIBRASE ; GINO FIBRASE; NOT FOUND; UNGT C/APLI 30 G x 6; PFZ
58729; GINO-PLETIL ; GINO PLETIL; NOT FOUND; CR.VAG.7 APL 45 G x 1; PFZ
30775; GINO-PLETIL ; GINO PLETIL; NOT FOUND; CREME APLIC 80 G x 1; PFZ
44222; GINO-TRALEN ; GINO TRALEN; NOT FOUND; POM.VAG.APLI 6.50 % 5 G x 1; PFZ
83360; GLALFITAL ; GLALFITAL; NOT FOUND; SOL OFTAL 2 % 5 ML x 1 (/0.5); PFZ
