62990; LEGIFOL ; LEGIFOL; NOT FOUND; F.AMP 50 MG 5 ML x 10; PFZ
53258; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 10 MG x 10; PFZ
53259; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 10 MG x 30; PFZ
77394; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 20 MG x 10; PFZ
53260; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 20 MG x 30; PFZ
77395; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 40 MG x 10; PFZ
60406; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 40 MG x 30; PFZ
60407; LIPITOR ; LIPITOR; NOT FOUND; CPR REVEST 80 MG x 30; PFZ
32073; LONITEN ; LONITEN; NOT FOUND; CPR 10 MG x 30; PFZ
47805; LOPID ; LOPID; NOT FOUND; CPR REVEST 600 MG x 24; PFZ
113082; LOPID ; LOPID; NOT FOUND; CPR REVEST 900 MG x 10; PFZ
50059; LOPID ; LOPID; NOT FOUND; CPR REVEST 900 MG x 12; PFZ
6385; LORAX ; LORAX; NOT FOUND; CPR 1 MG x 20; PFZ
29388; LORAX ; LORAX; NOT FOUND; CPR 1 MG x 30; PFZ
6386; LORAX ; LORAX; NOT FOUND; CPR 2 MG x 20; PFZ
29389; LORAX ; LORAX; NOT FOUND; CPR 2 MG x 30; PFZ
76319; LYRICA ; LYRICA; NOT FOUND; CAPS 150 MG x 14; PFZ
76320; LYRICA ; LYRICA; NOT FOUND; CAPS 150 MG x 28; PFZ
76316; LYRICA ; LYRICA; NOT FOUND; CAPS 75 MG x 14; PFZ
76318; LYRICA ; LYRICA; NOT FOUND; CAPS 75 MG x 28; PFZ
